name;region;style;brewery;review
Full Sail Pilsner (-2006);Hood River, Oregon, United States;Pilsener / Pils / Pilsner;Full Sail Brewing Company;Tap at Hood River brewery. Light to medium golden in color, clear. Very attractive white fluffy head forms and fades a bit too quickly. No lacing. Aroma is nicely hopped moderately spicey/earthy. Light toasted malt. Really rather full bodied, full mouthfeel yet lively and crisp. Long bitterness throughout. Tasty pilsner, underrated.
Full Sail Pilsner (-2006);Hood River, Oregon, United States;Pilsener / Pils / Pilsner;Full Sail Brewing Company;"5.23.03 12oz bottle. Pale golden yellow and a medium white head that fizzes away. I donï¿½t get what makes this a pilsener other than the label; it seems like a regular High Life on steroids. Grass seed, lemon, wonder bread."
Full Sail Pilsner (-2006);Hood River, Oregon, United States;Pilsener / Pils / Pilsner;Full Sail Brewing Company;On tap at the full sail brewery. Pours a golden yellow with a small white head. Very smooth flavor with a grassy quality to it and some nice simple light malts. Slight fruitiness to the aroma and taste but very faint, quite a nice easy drinking summer brew.
Full Sail Pilsner (-2006);Hood River, Oregon, United States;Pilsener / Pils / Pilsner;Full Sail Brewing Company;light gold color, light fizzy head. Crisp fruity aroma, light malt but not much. The flavor is well balanced for a pils and drinks surprisingly well. I really like this one. It's well built which is hard to find these days in this style but still lacking like most in this style.
Full Sail Pilsner (-2006);Hood River, Oregon, United States;Pilsener / Pils / Pilsner;Full Sail Brewing Company;Deep amber, orange color with a slim white head. Decent aroma. Some malt and a hint of wheat, but that's about it. Fairly smooth taste and kind of watered down. A fairly average Pils. Nothing really to write home about.
Full Sail Pilsner (-2006);Hood River, Oregon, United States;Pilsener / Pils / Pilsner;Full Sail Brewing Company;Sampled at the brewery. Light clear yellow. Good lemon and wheaty aroma with a sizable malt presence. Fresh and light, while still frothy makes a good pilsner, one of my favorites.
Full Sail Pilsner (-2006);Hood River, Oregon, United States;Pilsener / Pils / Pilsner;Full Sail Brewing Company;Clear and golden with a big white head. Lightly carbonated, clean and light on the tongue. Bready and somewhat grainy malts. Floral, earthy and slightly bitter hops. Dry finish. Well made.
Full Sail Old Boardhead Barleywine;Hood River, Oregon, United States;BarleyWine / WheatWine / RyeWine;Full Sail Brewing Company;From Nov 2007 his is the 2006 vintage and I got it in a trade with Wasatch. Thanks John! This pours from 22oz bottle a cloudy orange amber with a small head of foam with some lacing. Not much foam to shrink down to but there's still a fine layer as I near the end of my session. The smell has notes of caramel malt, hops, and some spice. The taste at first sip is hugely malty. Lots of nice caramel flavour permeate my every taste bud. Next sip brings the hoppy goodness with notes of floral hops and some grapefruit and some nice fruity tones both dark and not so dark.(plum and apricot) And boy are they working well together as in, this puppy is really well balanced! You love hoppy brews, this one is for you. You love malty brews, ditto. It has a medium bordering on full mouthfeel and it's lightly carbonated. It finishes slightly bitter but there's still a good malt presence there as well. And I'm sipping on it straight from the fridge! Time to set it aside and let it warm up a bit, methinks. (about a half hour later) As it warmed up, all the flavours became more intense but I still find it very drinkable. Very nice BWSA and one I'd drink again with no qualms.
Full Sail Old Boardhead Barleywine;Hood River, Oregon, United States;BarleyWine / WheatWine / RyeWine;Full Sail Brewing Company;Originally rated on 1/26/09. i liked this barley wine because of the balance. It had enough hops to give it a decent aroma and some complexity to the taste, but enough sweet malts to compliment. Neither one was overwhelming or overbearing. Alcohol was well hidden and it had a good mouthfeel, not too thick or thin. Overall i Thought it was pretty good, and i would try it again
Full Sail Old Boardhead Barleywine;Hood River, Oregon, United States;BarleyWine / WheatWine / RyeWine;Full Sail Brewing Company;Over carbonated. Malty. A little barrel. Lots of barrel nose. Sweet and over carbonated. Meh ---Rated via Beer Buddy for iPhone
Full Sail Old Boardhead Barleywine;Hood River, Oregon, United States;BarleyWine / WheatWine / RyeWine;Full Sail Brewing Company;2007 vintage poured from a keg at a 2014 event. Has a mellow syrupy aroma. Pours a copper color with a ginormous head. A nice mellowed out barleywine...the years have definitely influenced it. Notes from the ï¿½14 Denver Rare Beer Tasting
Full Sail Old Boardhead Barleywine;Hood River, Oregon, United States;BarleyWine / WheatWine / RyeWine;Full Sail Brewing Company;Really nice, aged well. Dry, not too heavy. Slight medicinal aftertaste. Hides the booze well.
Full Sail Old Boardhead Barleywine;Hood River, Oregon, United States;BarleyWine / WheatWine / RyeWine;Full Sail Brewing Company;"22 oz bottle of 2011 Reserve served in a Belgian snifter. The hazy brown body is topped by a thin weak head that leaves minimal lacing. Fruity appealing aroma with some biscuit and remarkably little evidence of alcohol. Thereï¿½s little sign of the alcohol upon tasting either ... at first; but eventually the alcohol builds and the finish and aftertaste are actually rather boozy. While the boozy finish detracts from the flavor it is overall good enough, and complex enough, to deserve a 8. More hops than expected for this style. Feel: light carbonation in a medium-light body with obvious alcohol warming."
Full Sail Old Boardhead Barleywine;Hood River, Oregon, United States;BarleyWine / WheatWine / RyeWine;Full Sail Brewing Company;Bottle shared by alexsdad06 vintage 2007 pour dark amber copper with moderate tan head. Nose toffee, raisin, sweet malt, and maybe hint of oxidation. Taste up front sweeter flavors with raisin, plum, toffee. Mid palate moderate bitterness still. Hint of spicy pepper. Drinks pretty nice for 8 year old beer.
Full Sail Old Boardhead Barleywine;Hood River, Oregon, United States;BarleyWine / WheatWine / RyeWine;Full Sail Brewing Company;Deep dive into the rotter for this 2009 reserve barley wine gold ale. Rich toffee. Raisin rum cake. Musty sherry. Oxidized grape drank. Bit of sharp coffee medicine. Better than expected given what was in front of me. Rotted just fine.
Full Sail Old Boardhead Barleywine;Hood River, Oregon, United States;BarleyWine / WheatWine / RyeWine;Full Sail Brewing Company;Bottle. 2010 vintage. A: Dark brown with red highlights. Creme colored head. Lacing. N: Toffee, leather, earth, tobacco, some oxidation, grass. Dry autumn leaves. T: Quite bitter, light sweetness. M: Medium body, touch of alcohol, drying, soft carbonation. O: Throwback barleywine. Not unrestrained but not my cup of tea, either.
Full Sail Old Boardhead Barleywine;Hood River, Oregon, United States;BarleyWine / WheatWine / RyeWine;Full Sail Brewing Company;From a 22 oz bottle shared at home. Vintage 2012. Pours slightly hazy copper with an ecru head. Aroma of raisins and booze. Flavors of caramel and bitter citrus. Bitter finish.
Full Sail Main Sail Stout;Hood River, Oregon, United States;Stout - Dry;Full Sail Brewing Company;"Date: 10/15/1996 Source: Brewpub Appearance: black, thin tan head, Aroma: roasted malt aroma, Flavor: very smooth flavor with dry character and a roasted malt finish, very guinness like Aroma: 5/10; Appearance: 5/10; Flavor: 5/10; Palate: 5/10; Overall: 10/20 Rating: 2.6/5.0 Score: **/4 -------------------------------------------------------------------------------------- The score was calculated based upon the notes and an old scoring system."
Full Sail Main Sail Stout;Hood River, Oregon, United States;Stout - Dry;Full Sail Brewing Company;Should be listed as a dry stout. Hard to discern aroma (at brewery). Pours a clear very dark brown with a large creamy head. Comes off very smooth with incredible malt support from a style that rarley has such a thing. Taste and finish is dominated by roasted/burnt flavors, I'm guessing from chocolate malts (?). Certainly not the best beer from Full Sail (we all know what THAT one is!) but quite unique within its style.
Full Sail Main Sail Stout;Hood River, Oregon, United States;Stout - Dry;Full Sail Brewing Company;This is one of the Full Sail products tjhat suffered badly since they had their malting troubles in 97. My figures are pre 97 for the original.
Full Sail Main Sail Stout;Hood River, Oregon, United States;Stout - Dry;Full Sail Brewing Company;A good stout, more or less a beginners stout. Decent nose and a fine finish. Quite drinkable, especially if your not into the Imperials or Guinness.
Full Sail Mercator Doppelbock;Hood River, Oregon, United States;Bock - Doppelbock;Full Sail Brewing Company;Full Sail Brewing Company--Mercator Doppelbock--Reserve 1999 12 oz. Bottle. 7.80% ABV--26 IBUï¿½s. (4.0 / 5.0) Doppelbock--Smooth. Clear bright black cherry red color. Light sweet flavorful front. Light smooth flavorful body is rich without thickness. Finishes with a burst of flavor. Ages well. Sampled 3/21/1999 & 12/18/1999.
Full Sail Mercator Doppelbock;Hood River, Oregon, United States;Bock - Doppelbock;Full Sail Brewing Company;"Date: 03/19/2000 Mode: Bottle Source: Belmont Station, Portland opaque rust, thick tan head, malty aroma, rich dry malt flavor, slight fruity character, -------------------------------------------------------------------------------------- Date: 09/07/2005 Vintage: 1999 vintage muddy brown, headless, wonderful sweet fruity vineous aroma of rich ripe dates covered in a brown sugar sauce, big body, sweet malt flavor, lots of brown sugar character, no hops or bitterness, even though the aroma has developed some wonderful rich ripe fruit character, the flavor has broken down into a sugary syrup, excitment followed by a letdown Aroma: 5/10; Appearance: 8/10; Flavor: 5/10; Palate: 6/10; Overall: 10/20 Rating: 2.7/5.0 Score: **/4 -------------------------------------------------------------------------------------- The score was calculated based upon the notes and an old scoring system."
Full Sail Mercator Doppelbock;Hood River, Oregon, United States;Bock - Doppelbock;Full Sail Brewing Company;On Tap at Full Sail Hood River. pours out an amber. there is a nice aroma of dark fruit.
Full Sail Mercator Doppelbock;Hood River, Oregon, United States;Bock - Doppelbock;Full Sail Brewing Company;Bottle, 1999. Ruddy brown pour. Dark fruity aroma. Sweet malty and dark fruit, especially prunes, flavors. Clearly aged well.
Full Sail Mercator Doppelbock;Hood River, Oregon, United States;Bock - Doppelbock;Full Sail Brewing Company;1999 vintage. Poured a hazy brown with a golden hue. Aroma of dark fruit and aged malt. Flavor of dark and ripe fruits. A little flat but can be expected for 6 year old beer.
Full Sail Mercator Doppelbock;Hood River, Oregon, United States;Bock - Doppelbock;Full Sail Brewing Company;Cloudy red with not a whole lot of head. A strong bit of prunes in the aroma mixes with straw and leather. This is an impressive doppelbock. This was the 99 edition.
Full Sail Mercator Doppelbock;Hood River, Oregon, United States;Bock - Doppelbock;Full Sail Brewing Company;Dark brown, lasting tan head.Malt nose. Sweet malt taste with decent body and some finishing hops. Good lace
Full Sail Mercator Doppelbock;Hood River, Oregon, United States;Bock - Doppelbock;Full Sail Brewing Company;Dark nut brown. Sourish and syrupy sweet. Perhaps I got an off bottle. ..
Full Sail Mercator Doppelbock;Hood River, Oregon, United States;Bock - Doppelbock;Full Sail Brewing Company;A very tremendous tasting bock. It obviously has tons of malt and hops, for it has held up well in the two years I have kept it. Very cloudy and nice alcohol kick. One of the best Doppel's in the country that I have tried.
Full Sail Mercator Doppelbock;Hood River, Oregon, United States;Bock - Doppelbock;Full Sail Brewing Company;Too light-bodied for the style, and too easy going. Hops don't come through enough at the end. Wouldn't pour it down the drain, but probably wouldn't buy it again either.
Hair of the Dog Adam;Portland, Oregon, United States;Traditional Ale - Other;Hair of the Dog Brewing Company;woodsmoke tobacco - smoke comes in after rich milk chocolate notes again thick and syrupy high sweetness
Hair of the Dog Adam;Portland, Oregon, United States;Traditional Ale - Other;Hair of the Dog Brewing Company;Bottle from Perryï¿½s Liquor & Craft Beer in Livermore, CA. Aroma is roasted malts, toffee, raisins, prunes. Taste is chalky prunes, chestnuts?, tangy toffee with dark chocolate. Overall very complex and probably ahead of its time (when it first came out)...BUT a little less than exciting considering the hype.
Hair of the Dog Adam;Portland, Oregon, United States;Traditional Ale - Other;Hair of the Dog Brewing Company;On tap at Fakin Craft Bar, Zagreb. Dark brown with an amber tint, small tan head. Aroma is raw dough, malts mixed with herbs, spice. Alcohol present but light. Light smoke. Herb liqueur. In the end you catch a glimpse of caramel and toast. Flavour is herbal candy, toast and slightly roasty malts, wouldn't say smoky. Caramel in the finish, but combined with dry herbal touch. Medium to full body. Balanced. Soft carbonation.
Hair of the Dog Adam;Portland, Oregon, United States;Traditional Ale - Other;Hair of the Dog Brewing Company;Taster shared with Brian. Appearance: opaque dark brown with a white head. Aroma: dark malts, fruitiness. Taste: similar, like Schwarzbeer from Cloudburst we've had earlier this day. Overall: ok. Earlier Rating: 6/16/2019 Total Score: 3.9 Glass shared with Dima Sh. Appearance: opaque dark with a low head. Aroma: very fruity with flower and dark malt notes. Taste: same with flowery and grassy hoppy bitterness. Overall: interesting and unusual.
Hair of the Dog Adam;Portland, Oregon, United States;Traditional Ale - Other;Hair of the Dog Brewing Company;Draught pour @ Apex. Pours an opaque brown colour with a medium creamy nitro beige head. Nose is general toasted malt, and very old world dark beer in character. Flavour is toasted malt, mild caramel, burnt sugars, and a semi spiced/hoppy bittner finish. Different indeed.
Hair of the Dog Adam;Portland, Oregon, United States;Traditional Ale - Other;Hair of the Dog Brewing Company;Im Monks Cafe in Philly (draft). Dunkles Braun, eine angemessene Schaumkrone Aroma krï¿½ftig nach kalten Kaffee. Wï¿½rzige Note. Kakao. Etwas rote Beere. Geschmack: Bittere Schokolade, Karamell, etwas Haselnuss. Scharfe Bitterkeit weit hinten im Rachen. Plï¿½tzlich kommend. Cremig. Schwerer Antrunk.
Hair of the Dog Adam;Portland, Oregon, United States;Traditional Ale - Other;Hair of the Dog Brewing Company;12oz bottle. Batch 99. Pours a very dark brown with a negligible beige head. Aroma is fig, leather, chocolate, and some wood. Initially soy sauce comes through, strongly, but it disappears as the beer warms. Taste is chocolate, licorice, fig, caramel, some leather, light spice, some soy sauce, some earth, some wood, and a hint of smoke. Some alcohol in the finish. Medium-full body. Relatively low, somewhat grainy carbonation. Oily mouthfeel.
Hair of the Dog Adam;Portland, Oregon, United States;Traditional Ale - Other;Hair of the Dog Brewing Company;Pours dark copper, minor carbonation, small off-white head and just some sticky lacing. Aroma of caramel, liquorice and ripe figs. Tastes quite sweet but balanced but bitter hops, with malted barley, caramel, brown sugar, liquorice, fruity ripe fruits with some bittering hops to balance. Smooth, viscous, light carbonation, a pleasure to sip. Excellent ale, and this is one of their standard ones!
Hair of the Dog Adam;Portland, Oregon, United States;Traditional Ale - Other;Hair of the Dog Brewing Company;Bottle at the Burger Joint, Singapore. Poured a clear dark brown colour with a mostly lasting frothy off white head. The aroma is roasty malt, caramel, burnt treacle, liqouirce, red berry fruits, light spicy hop. The flavour is moderate sweet, liquorice alcohol bitter, with a rich, fruity, slightly oily, earthy, leather, fruity, warm alcohol bitter palate. Medium to full bodied with soft carbonation. Awesome. Worth the wait.
Hair of the Dog Rose;Portland, Oregon, United States;Tripel;Hair of the Dog Brewing Company;Sample at Beavertown Extravaganza 2017. A dark orange coloured beer with a white head. Aroma and flavour of yeast, spice, funk, fruit, lemon, pepper and with a sweet finish.
Hair of the Dog Rose;Portland, Oregon, United States;Tripel;Hair of the Dog Brewing Company;[5/10/18] Draught at Mikkeller & Friends in Copenhagen. Murky amber. Beetroot, hibiscus, caramel, malt, some spiciness, fruitiness, sweet, sugary, medium-bodied. Weird.
Hair of the Dog Rose;Portland, Oregon, United States;Tripel;Hair of the Dog Brewing Company;Draught @ Mikkeller @friends. Poured Rose, red color. Black currants all over, in flavor, in aroma. Its smooth, its light tart. Its juicy. Awesome.
Hair of the Dog Rose;Portland, Oregon, United States;Tripel;Hair of the Dog Brewing Company;At Mikkeller and Friends, 2018. Pours brown to orange with a small head, aroma of wood, Hibiscus, cherry, beets, flavor of cherries, hibiscus, beet, medium bodied
Hair of the Dog Rose;Portland, Oregon, United States;Tripel;Hair of the Dog Brewing Company;Hazy rustic gold under a thin white foamy cap. Bright hibiscus and peppercorn aromas with a smoothbelgin biscuity malt base. Vibrant pale malty flavor thatï¿½s a little strong and slightly estery with pink peppercorns and a tasty Belgian herbal playfulness. Really neat and complex.
Hair of the Dog Rose;Portland, Oregon, United States;Tripel;Hair of the Dog Brewing Company;Draft in the tasting room. Hazy burnt orange with medium head and lace. Peach, cherry, tobacco, and teakwood aroma. Rather restrained malt sweetness and stonefruit, but also a healthy, balancing, clean bitter. Medium body and exceptionally satisfying finish especially for the size. A bit more complicated than a tripel ought to be, perhaps, but it works.
Hair of the Dog Rose;Portland, Oregon, United States;Tripel;Hair of the Dog Brewing Company;23/IX/17 - on tap @ Borefts Bierfestival 2017 (Bodegraven) - BB: n/a (2017-1710) Thanks to ratebeerians and friends for sharing today's beers! Clear orange beer, small creamy white head, unstable, non adhesive. Aroma: very malty,g rains, hay, sweetish, cow fodder. MF: soft carbon, medium body. Taste: very malty, sweet, some caramel, grains, bitter touch, cow fodder. Aftertaste: bit malty, metallic touch, little bitter, hay, cow fodder, malty, sweet touch.
Hair of the Dog Rose;Portland, Oregon, United States;Tripel;Hair of the Dog Brewing Company;Retro. Dark orange pour. Herbal tea like nose with fruit esters and yeast prominent. Light spices. Hibiscus is nice. Good tripel overall though not a standout for HOTD.
Hair of the Dog Rose;Portland, Oregon, United States;Tripel;Hair of the Dog Brewing Company;Tap@Beavertown Extravaganza 2017, London -fuzzy golden pour with a white head. Fruity and light malty. some icing sugar, caramel sweetness, some citric lemon flavour, yeasty, some grassy and floral nuances going on, citric spice into the sweet finish.
Hair of the Dog Rose;Portland, Oregon, United States;Tripel;Hair of the Dog Brewing Company;Cask at Cask Days. Cloudy golden color dense head. Floral perfume aroma, hibiscus lavender pepper. Taste is funk flowers bitter peppery finish. Best of fest.
Hair of the Dog Fred;Portland, Oregon, United States;BarleyWine / WheatWine / RyeWine;Hair of the Dog Brewing Company;Tap at Borefts 2019: Slightly hazy orange colored brew with an dry bitter taste, hints of caramel, grapefruit, some burning alcohol and some wood. Quite complex beer which is easy to drink.
Hair of the Dog Fred;Portland, Oregon, United States;BarleyWine / WheatWine / RyeWine;Hair of the Dog Brewing Company;08.08.2019, tap @ Bakushu Club Popeye: Small slightly bubbly-creamy mediumlasting head, hazy golden orangy color. Aroma is slightly dry boozy, dusty caramel malts, fruit stones, bark, minerals, alcohol, toffee, paper, sawdust, cardboard, dried grain, hints of raisins. Taste is slightly dry sour-ish boozy, bark, fruit stones, caramel malts, sour grass, minerals, alcohol, paper, harsh hops, sawdust, harsh citrus peel. Longlasting harsh bitterness, boozy mouthfeel. Fair enough, needs years in the cellar...
Hair of the Dog Fred;Portland, Oregon, United States;BarleyWine / WheatWine / RyeWine;Hair of the Dog Brewing Company;Bottle at Toranado, SF. Rich, sweet, yeasty, like their American ales. A complex array of hops, as well. Really nice!
Hair of the Dog Fred;Portland, Oregon, United States;BarleyWine / WheatWine / RyeWine;Hair of the Dog Brewing Company;Refrigerated 12 oz. brown bottle from wchesser poured into a snifter. Deep golden with small white head. Aroma is caramel malt, medium body, low carbonation, and little lacing. Taste is caramel malt, some what spicy rye, and some hops backbone for balance.
Hair of the Dog JD;Portland, Oregon, United States;Smoked - Rauchbier;Hair of the Dog Brewing Company;Was originally named small beer when I first had it at the Archer. Lightly smoked nose and flavor.
Hair of the Dog JD;Portland, Oregon, United States;Smoked - Rauchbier;Hair of the Dog Brewing Company;Very smokey. This is a small beer drawn from Adam. Unique stuff...........
NorWester Oregon Pale Ale;Portland, United States;Pale Ale - American / APA;Portland Brewing Company (Cervecerï¿½a Costa Rica - FIFCO);Draught@Hilpeï¿½ Hauki, Helsinki. Cloudy amber color, white head. Grapefruity hop flavor. Medium-full body, medium carbonation. Once again a beer that is too grapefruity for my taste.
NorWester Oregon Pale Ale;Portland, United States;Pale Ale - American / APA;Portland Brewing Company (Cervecerï¿½a Costa Rica - FIFCO);Norï¿½Wester Beer Company--Oregon Pale Ale--Oregon Promise Series 1998 12 & 22 oz. Bottle. 5.50% ABV. (2.5 / 5.0) Pale Ale. Norï¿½Wester Beer Company--Oregon Pale Ale--Oregon Promise Series 2002 12 oz. Bottle. 5.50% ABV. (3.5 / 5.0) Clear thin amber color. Mild floral hop front. Tart mild caramel malt body with citrus bite and minimal biscuit notes. Medium light sweet texture. Mild hop sweet end. Easy & Over Carbonated. Minimal hops. Sampled 4/15/2002.
