Svevo Valerius Ale;Bari, Italy;Altbier / Sticke Alt;Birrificio Svevo;"Draught at ""Salone della Birra Artigianale 2007"" - Milan. Slightly dark yellow color light and fine fizz. Light and homogenous head of short resistance. Fresh and flowery scent with herbaceous and spiced notes which anise and dried malt. Typical taste, bitterish and slightly smooths down. Modest final body with pleasant alcoholic content."
Willimantic Party Gyle Pale;Willimantic, Connecticut, United States;Pale Ale - American / APA;Willimantic Brewing Company;On tap at the Brewpub. Pours cloudy amber in color with off white head. Aroma is malty and light floral hops. Taste of malt and light citrus hops with a grapefruit bitter finish.
Willimantic Party Gyle Pale;Willimantic, Connecticut, United States;Pale Ale - American / APA;Willimantic Brewing Company;on tap-pours a foamy offwhite head with cloudy/hazy amber color. Aroma is faint spicy hops, medium malt. Taste is spicy hops, medium malt.
Willimantic Party Gyle Pale;Willimantic, Connecticut, United States;Pale Ale - American / APA;Willimantic Brewing Company;Pours amber with sparse off white carbonation. Smells of some earthy hops and sweet malt. Taste is slightly watery with some elements of roses and oranges. A bit on the weak side.
Willimantic Party Gyle Pale;Willimantic, Connecticut, United States;Pale Ale - American / APA;Willimantic Brewing Company;Robe blonde voilée aux reflets gris sans mousse. Arômes de houblon aromatique. Saveurs de malt caramel, de houblon aromatique et de levures.
Willimantic Party Gyle Pale;Willimantic, Connecticut, United States;Pale Ale - American / APA;Willimantic Brewing Company;Shared by mkgrenwel at DLD. Lighty aroma, honey and some fruitiness. Hazy golden brown color with a medium palate. The taste follows the aroma exactly. Pretty easy to drink and solid for a second runnings brew.
1809 Berliner Style Weisse;Friesing, Bavaria, Germany;Berliner Weisse;Professor Fritz Briem;Mild cloudy golden body with a minimal collapsing white head. Aroma is peach, Bellini. Taste is fruity, mild hearty. Dry but fruity finish. Medium body, soft carbonation oily texture. Not very sour,but very nice beer
1809 Berliner Style Weisse;Friesing, Bavaria, Germany;Berliner Weisse;Professor Fritz Briem;many Thanks for this traditional beer to Koelschtrinker. Poured into Barenbier Berliner Weisse glass. Niemal bez piany, brudnawa metnawo-piaskowa barwa, z lekkim zapachem nadpsutych papierowek lezacych w trawie. W smaku kwasek, sok kwasny z jablek, nieco przyprawy jakiejs. Dziwne nieco.
1809 Berliner Style Weisse;Friesing, Bavaria, Germany;Berliner Weisse;Professor Fritz Briem;$6.49 bottle, WM-CHO. Slightly hazy gold with a white head. Aroma is faint, but what's there is lemon zest, wheat. Flavor is tart wheat, lemon zest, bread crust.
1809 Berliner Style Weisse;Friesing, Bavaria, Germany;Berliner Weisse;Professor Fritz Briem;( on tap) Aroma: sweet peaches, lemon Taste: sweet, lightly sour, flavour of sweet peaches and stone fruits. Palate: medium body, chewy, strong carbonation. Overall: Probably the best clear Berliner weisse i have ever tried.
1809 Berliner Style Weisse;Friesing, Bavaria, Germany;Berliner Weisse;Professor Fritz Briem;Perfect summer beer. Light but juicy with a mashed wheaty texture and citrus. ---Rated via Beer Buddy for iPhone
1809 Berliner Style Weisse;Friesing, Bavaria, Germany;Berliner Weisse;Professor Fritz Briem;Bottle, pours a hazy yellow golden with fizzy white head. Notes are straightforward for style: wet dog, lactic lemons, wheat, and other funk. Body is on the light side. Tart finish. On tap at Brauhaus, so much better: apples, lemons, lactic wheat, balanced with light tartness. I moved it up
1809 Berliner Style Weisse;Friesing, Bavaria, Germany;Berliner Weisse;Professor Fritz Briem;01-06-19 // taster at Berliner Weisse Gipfel. Hazyliy yellwosih. Lemon zesty funky. Mild sourness. Mild lacto. Good one.
1809 Berliner Style Weisse;Friesing, Bavaria, Germany;Berliner Weisse;Professor Fritz Briem;Bottle at Hy-Vee Oktoberfest 2018. Poured hazed light golden, white head. Aroma of yeast, fruit. Taste was sweet, tart, lemon, sour, fruit.
1809 Berliner Style Weisse;Friesing, Bavaria, Germany;Berliner Weisse;Professor Fritz Briem;Bottle in Seattle. Always a treat, and this bottle is a little over a year old. Clear pale yellow, very small head. Nose of chewy, sweet wheat and some lactic tartness. Exceptionally clean, delicious, lightly tart acidity on the first sip. Some creamy wheat character develops and rounds the body. Some lactic/diacetyl character persists but well in balance. Lovely balanced tartness at finish, and lingers as dry acidity. A very nice example of style, and delicate.
1809 Berliner Style Weisse;Friesing, Bavaria, Germany;Berliner Weisse;Professor Fritz Briem;500ml bottle @ home. Slightly hazy yellow with big, fluffy white head. Nice funky sour nose. Flavors are tart lemon citrus, mild funk, some earthy malt. Light and refreshing, great beer for summer.
Höhl Maintaler Apfelwein;Maintal-Hochstadt, Hesse, Germany;Apple Cider;Landkelterei Höhl (Rapp's);Aroma of sour apples. Refreshing, light sour taste, a bit watery, with almost no sweetness. Much less sweet than most other Ebbelwois, almost tastes like it has already been mixed with water, as some people like to drink their Ebbelwoi.
Höhl Maintaler Apfelwein;Maintal-Hochstadt, Hesse, Germany;Apple Cider;Landkelterei Höhl (Rapp's);Many thanks for this apfel cider to Mariusz. Jasna barwa. Pachnie smazonymi jablkami. Smakowo wodnisty kompot gruszkowo jablkowy
Höhl Maintaler Apfelwein;Maintal-Hochstadt, Hesse, Germany;Apple Cider;Landkelterei Höhl (Rapp's);Säuerlich fruchtiger Apfelantrunk. Weich, die Apfelnoten bleiben konstant. Trocken, vollmundig, reif. Gut. 8/9/9/9//9
Höhl Maintaler Apfelwein;Maintal-Hochstadt, Hesse, Germany;Apple Cider;Landkelterei Höhl (Rapp's);100cl bottle. Pours clear golden colour with no head. Aroma of ripe old apples, some tartness. Taste of dry tart apples, old apples, average!
Höhl Maintaler Apfelwein;Maintal-Hochstadt, Hesse, Germany;Apple Cider;Landkelterei Höhl (Rapp's);"1L ""im Bembel-Look"" from MaruhnXII/2015, bought for a pulled pork recipe... Contains and wears the added antioxidant sulphuroxide on its sleeve: yellow apple peel in Gutedel white wine, thinnish rather than the advertised vollmundig, more diluted cider vinegar than cider-y: is this apple derivate even related to cidre? Weißweinschorle and Apfelschorle (finally/ never the twain shall) meet, with a dash of lemon."
Höhl Maintaler Apfelwein;Maintal-Hochstadt, Hesse, Germany;Apple Cider;Landkelterei Höhl (Rapp's);1L bottle from Beers of Europe. Pale golden colour, no head and aroma of apple, rubber. Taste is juicy apple, sweetish & tart with rubber, leather and white wine notes. Thin mouthfeel, light bodied, medium carbonation, fairly clean finish. Quite OK.
Höhl Maintaler Apfelwein;Maintal-Hochstadt, Hesse, Germany;Apple Cider;Landkelterei Höhl (Rapp's);Um einiges besser als so mancher Frankfurter, der die letzten Monate so im Test war. Nertte Balance aus Saeure und Sueffigkeit. Dahinter ein paar unreife Aepfel nebst leichter Grasigkeit und Zitrone. Nicht schlecht.
Höhl Maintaler Apfelwein;Maintal-Hochstadt, Hesse, Germany;Apple Cider;Landkelterei Höhl (Rapp's);Bottle from IxI Getränkemarkt in Frankfurt. The Apfelwein has got a clear golden colour with a medium body. No carbonation. Aroma of harsh apples and trees. Taste of green apples, citric, leaces, acid, unripe red apples and trees. Refreshing. Enjoyed it.
Höhl Maintaler Apfelwein;Maintal-Hochstadt, Hesse, Germany;Apple Cider;Landkelterei Höhl (Rapp's);Many thanks to McTapps for this sample. Golden in the glass with a slightly stinky nose. The cider starts fresh and sourish. Nice balanced with moderate fruity sourness. Very dry with no tannins there. Fresh, smooth, easy to drink with still a rest of sweetness to remain highly drinkable. Nice typical Frankfurt-cider.
Höhl Maintaler Apfelwein;Maintal-Hochstadt, Hesse, Germany;Apple Cider;Landkelterei Höhl (Rapp's);1 litre bottle from Beers of Europe. Pours light golden yellow with a sweetcorn / apple skin aroma. Taste is very much on the light side with a thin sourness and watery green apple tint. Tastes a bit weak & watered down. Not great.
Kelham Island Snake Charmer;Sheffield, South Yorkshire, England;Blonde Ale / Golden Ale;Kelham Island Brewery;Cask conditioned - handpump - Malt Shovel Northampton. A straw yellow coloured beer with an off-white head and a little lacing. The aroma is sweetish with some phenols, and a touch of wheatiness. The taste is more of the same. More phemols and more sweetness. A little lemony note. Not to my taste.
Ølgod Den Gode Hvede;Ølgod, Denmark;Weissbier - Hefeweizen;Ølgod Bryghus;Golden beer with a small white head. The aroma is fairly weak, but it has notes of a sourness. The flavour is watery with light notes of wheat and an annoying sourness.
Ølgod Den Gode Hvede;Ølgod, Denmark;Weissbier - Hefeweizen;Ølgod Bryghus;From Ølgod Bryghus, DK. Bottled, 200612. Yellow with white head. Aroma of wheat and banana. Flavour with cloves and other spices.
Ølgod Den Gode Hvede;Ølgod, Denmark;Weissbier - Hefeweizen;Ølgod Bryghus;Bottle at home. Pours cloudy golden with a medium off white head. The aroma is marmelade, old fruit, vegetables and a strange sour notes. The flavour is highly bitter and has a strong vegy overall sourness. Its completely ruined and horrible. Best before Dec 2012 so not old at all. Bad brewing!
Ølgod Den Gode Hvede;Ølgod, Denmark;Weissbier - Hefeweizen;Ølgod Bryghus;Sample from a bottle. light yellow with a medium white head. The aroma contains notes of wheat, and a tight sulfur smell. The taste bear the imprint of sulfur and is both sour and bitter, so something must have gone wrong
Ølgod Den Gode Hvede;Ølgod, Denmark;Weissbier - Hefeweizen;Ølgod Bryghus;Had this on tap at Ølgod Bryghus, Ølgod, Denmark, 08.04.11 Pours yellow in colour with a white filmy head. Wheaty, touch fruity with some traces of lemon and a surprising harshness, bit dry. Its ok. A6 A3 T6 P3 Ov12 3.0
Ølgod Den Gode Hvede;Ølgod, Denmark;Weissbier - Hefeweizen;Ølgod Bryghus;Bottled @Beer Hunters (BB 06/2011) Hazy orange color, small white head. Aroma has some fruit sugars, orange and yeast, slightly cardboadish too. Light to medium-bodied. Slightly sour. Wheat, cardboard, citrus in the flavor. A bit infected?
Ølgod Den Gode Hvede;Ølgod, Denmark;Weissbier - Hefeweizen;Ølgod Bryghus;Bottle.Pours cloudy yellow with a small white head.Some citrus in the nose ,and a little sweat.Dry and sour in the mouth.There is some malt and hops.Infected ,I’m sorry to say.
Ølgod Den Gode Hvede;Ølgod, Denmark;Weissbier - Hefeweizen;Ølgod Bryghus;Bottle. Golden -orange colour with a white head. Aroma is dry, malt, citrus, orange. Flavour is sweet, malt, hop, citrus, orange, sour. Medium body. Some thing is wrong here.
Ølgod Den Gode Hvede;Ølgod, Denmark;Weissbier - Hefeweizen;Ølgod Bryghus;Bottle. A slightly hazy, orange beer with a minimal-sized white head. Slightly sourish and chalky on the nose, with a sourish fruityness dominating. The aroma is also a bit too sourish, infected-style, with sourish fruits, a chalky touch and some hops to give bitterness. Medium body, quite low on carbonation, and with a lemony finish. Even though it’s a bit off, it’s sure drinkable, but I see no reason to buy it again. 090720
Ølgod Den Gode Hvede;Ølgod, Denmark;Weissbier - Hefeweizen;Ølgod Bryghus;Draught@brewpub. Hazy golden/orange colour, not much head. Aroma is sweet wheat as well as some mild sugary notes. Also mild grainyness. Flavour is a bit acidic fruity and wheaty with some hints of hops. Quite harsh grassy finish.
Ølgod Den Gode Mørke;Ølgod, Denmark;Schwarzbier / Black Lager;Ølgod Bryghus;Draught @ Ølgod Bryghus. Pours hazy brown with a creamy tan head, lacings. Aroma of malt, light roast, bread, little coffee, caramel. Flavor is light sweet, malty, caramel, coffee, bread, light chocolate. Thin to medium body, average carbonation, light sweet finish. 181019
Ølgod Den Gode Mørke;Ølgod, Denmark;Schwarzbier / Black Lager;Ølgod Bryghus;"Fin malte duft, flot farve men smagen er lidt ""tynd"" og svag. Den holder ikke til krydret leverpostej eller spegepølse. Har lidt en tendens til at smage lidt surt. ---Rated via Beer Buddy for iPhone"
Ølgod Den Gode Mørke;Ølgod, Denmark;Schwarzbier / Black Lager;Ølgod Bryghus;Aroma: Roasted malt and raisins. Flavour: Dark roasted malt with coffee and slight raisins. Some fruity sweetness. Colour: Dark brown with an offwhite head. From: Bottle @ Superbrugsen Ansager Jun. 2016
Ølgod Den Gode Mørke;Ølgod, Denmark;Schwarzbier / Black Lager;Ølgod Bryghus;en god øl med en sødlig duft har et meget fint lysebrunt skum, som holder længe farven er flot mørk gylden smagen er lidt sødlig en øl der ikke rykker
Ølgod Den Gode Mørke;Ølgod, Denmark;Schwarzbier / Black Lager;Ølgod Bryghus;En god og ordinær schwarzbier fra Ølgod. Tilpas med sødme og friskhed. Savner nogte humliesmag.
Ølgod Den Gode Mørke;Ølgod, Denmark;Schwarzbier / Black Lager;Ølgod Bryghus;Clear brown beer with a small beige head. Aroma is fruity and roasted malt. Taste is sour with notes of roasted malts and coffee.
Ølgod Den Gode Mørke;Ølgod, Denmark;Schwarzbier / Black Lager;Ølgod Bryghus;Bottle at home. Pours black with a medium off white head. The aroma is roasted malt and liquorice. Light tobacco. The flavour is liquirice, pepper, light puke and hard roasted malt. Not fund of this.
Ølgod Den Gode Mørke;Ølgod, Denmark;Schwarzbier / Black Lager;Ølgod Bryghus;From Ølgod Bryghus, DK. Bottled, 200612. Brown with beige head. Aroma of malt and coffee. Flavour with roasted maæt and caramel.
Ølgod Den Gode Mørke;Ølgod, Denmark;Schwarzbier / Black Lager;Ølgod Bryghus;Had this on tap at Ølgod Bryghus, Ølgod, Denmark, 08.04.11 There is a little sourness in the mouth, soft mouthfeel. There is a tangy fruitiness. This pours looking like a flat cola soft drink. Its fine but not really offering too much. To be honest I was not entirely certain what style this was. A6 A3 T6 P3 Ov12 3.0
Ølgod Den Gode Mørke;Ølgod, Denmark;Schwarzbier / Black Lager;Ølgod Bryghus;Bottle, bought @ SuperSpar, Ølgod. Fine, clear, dark red, bordering on black. Lovely, staying, creamy, off-white head. Mild sweet aroma, some caramel, lightly toasted. Highish carbonation, fair mouthfeel. Flavour has some light milky notes, mild smokey. Light caramel, some chocolate. Light infection. Not impressive.
Ølgod Den Gode Pilsner;Ølgod, Denmark;Pilsener - Czech / Svetlý;Ølgod Bryghus;Draught @ Ølgod Bryghus. Pours clear light golden with a white head, light lacings. Aroma of malt, grain, grass, light citrus. Flavor is light bitter, malty, grain, light grass, light citrus. Medium body, average carbonation, light bitter finish. 181019
Ølgod Den Gode Pilsner;Ølgod, Denmark;Pilsener - Czech / Svetlý;Ølgod Bryghus;Aroma: fruits with citrus and yeast. Flavour: sweet fruits and a tangy sourness with grapelike slightly dry finish. Colour: pale yellow with a white head. From: bottle @ superbrugsen in Ansager Jun. 2016.
Ølgod Den Gode Pilsner;Ølgod, Denmark;Pilsener - Czech / Svetlý;Ølgod Bryghus;smagen er noget sød har et fint hvidt skum dufter godt af humle farven er lys brun den har bundfald, og er svær at skænke der går en 4del tabt :(:(:( har smagt den og det var det.
Ølgod Den Gode Pilsner;Ølgod, Denmark;Pilsener - Czech / Svetlý;Ølgod Bryghus;Bottle. Pours hazy yellow with a medium white head. The aroma is citric hops, light paint and caramel. The flavour is fruity and quite sour. Infected indeed.
Ølgod Den Gode Pilsner;Ølgod, Denmark;Pilsener - Czech / Svetlý;Ølgod Bryghus;From Ølgod Bryghus, DK. Bottled, 200612. Yellow with white head. Aroma of hay and citrus. Flavour with malt.
Ølgod Den Gode Pilsner;Ølgod, Denmark;Pilsener - Czech / Svetlý;Ølgod Bryghus;Had this on tap at Ølgod Bryghus, Ølgod, Denmark, 08.04.11 Pours lemony yellow in colour with a white head. Soft carbonation in mouth, touch of mineral, and just a little metallic, cereal sweetness, some lemon and other citrus fruitiness detected. This is probably one of the better beers from this brewery bit sweetish maybe but quite tasty. A6 A4 T7 P4 Ov13 3.4
Ølgod Den Gode Pilsner;Ølgod, Denmark;Pilsener - Czech / Svetlý;Ølgod Bryghus;Bottle, bought @ SPAR, Ølgod. Clear, light hazy pale golden with a big, frothy, off-white head. Aroma is a bit funky, some grass, light maltiness, light lactic acid. High carbonation, dryish and a bit thin. Flavour is mild lactic, mild metallic, some grassy dry bitterness, mild maltiness. Mild infection.
Ølgod Den Gode Pilsner;Ølgod, Denmark;Pilsener - Czech / Svetlý;Ølgod Bryghus;Bottled 500ml (Beer Hunters, BB 05/2011) Hazy orange color, steady small white head. Grainy nose with hints of citrus and acidity. Medium-bodied. Flavor is similar to aroma: grapefruity, citrus acidity. Some metallic and grainy notes.
Ølgod Den Gode Pilsner;Ølgod, Denmark;Pilsener - Czech / Svetlý;Ølgod Bryghus;Bottle at Chris’ Blue Ridge Mountains of Virginia tasting. Gusher, hazy pale gold. Thin white head. OK pale malt aroma, some hop. It’s an ok pils ok lager, some hop on end.
Ølgod Den Gode Pilsner;Ølgod, Denmark;Pilsener - Czech / Svetlý;Ølgod Bryghus;22nd May 2010. ChrisOs ’Blue Ridge Mountains Of Virginia’ tasting! Hazy gold beer. Light dry palate - soft edges. Slightly sour malt. A dash of lenon. A little caraway. Finishes dry. Passable.
Sun Valley Belge Blanche;Hailey, Idaho, United States;Witbier / Belgian White Ale;Sun Valley Brewing;On tap at the brewery. This was the worst of the flight, ultra bland, watery. Not much taste or aroma, no body to speak of. Slice of orange added nothing to it either. Looking at the ratings, not sure if this batch was bad, but it was truly bad.
Sun Valley Belge Blanche;Hailey, Idaho, United States;Witbier / Belgian White Ale;Sun Valley Brewing;On tap at brewpub. Pours out a hazy light yellow topped with a nice tiny white head. Pretty good aroma of yeast. Not to bad.
Sun Valley Belge Blanche;Hailey, Idaho, United States;Witbier / Belgian White Ale;Sun Valley Brewing;Tap (Belgian Wheat): Pours a hazy golden color, a little white head. The nose is bright with raw dough and light yeast, some citrus notes (maybe from the orange that was thrust unto my beverage) and some vanilla lotionish thing. The flavor is plenty balanced, nice light acidity. Overall and clean yeast example with not quite enough carbonation as desired. I liked this a lot better than the IIPA.
Sun Valley Belge Blanche;Hailey, Idaho, United States;Witbier / Belgian White Ale;Sun Valley Brewing;On Tap at the brewpub. Hazy light orange/yellow with just a thin skin of an off-white head and traces of thin lacing down the sides. Light banana orange aroma and flavor. Light malt/wheat flavor with a light soft unfiltered feel. Lacking any bitterness. Not Bad.
Sun Valley Belge Blanche;Hailey, Idaho, United States;Witbier / Belgian White Ale;Sun Valley Brewing;Tap at brewpub: Banana aroma with cloudy gold appearance and typical bready yeast flavors. Ok.
Sun Valley Imperial IPA;Hailey, Idaho, United States;IIPA - Imperial / Double IPA;Sun Valley Brewing;On tap at brewpub. Pours out a nice amber color topped with a small head. Very little hop aroma on this one. But is followed up with a GREAT big Hop dissapointment. They call this a 2IPA. I think there normal IPA is much better.
Sun Valley Imperial IPA;Hailey, Idaho, United States;IIPA - Imperial / Double IPA;Sun Valley Brewing;Tap: Poured an amber color with very little lacing. The nose is citrusy and musky with a bit of charcoal and a light malt note, some chemical, but very light, almost as if it weren’t even there. The nose otherwise though is a bit light for an Imperial IPA. The flavor isn’t even that malty either. It is stronger in gravity for sure, but it’s just lacking in intensity. Finishes clean and drinkable, but I want my double IPAs to be a bit more brash. I like em tough.
Sun Valley Imperial IPA;Hailey, Idaho, United States;IIPA - Imperial / Double IPA;Sun Valley Brewing;"On Tap at the brewpub Medium clear golden amber witha coarse light tan head and spotty lacing. Average moderatly hoppy flavor fairly balanced I suppose but mediocre in all respects. Certainly not very ""Double"". Their regular IPA was tastier and much more hoppy."
Sun Valley Imperial IPA;Hailey, Idaho, United States;IIPA - Imperial / Double IPA;Sun Valley Brewing;Tap at brewpub: Clear gold with white head. It has a stuffy hop aroma that seems to be waiting to burst forth with exuberant delight, but is being held back. So that’s a bummer. You can also pick up on some grass clippings. I expected it to pack way more of a punch being an 2IPA, but it doesn’t. Needs a little work and it could be a good brew.
Trail Creek Bière de Garde;Twin Falls, Idaho, United States;Bière de Garde / de Mars;Trail Creek Brewing Co.;22oz bottle. Small off-white head atop murky amber body. Aroma is medium sweet, yeasty, honey, some pepper. Taste is moderately sweet, flower, honey, some pepper, light medicinal. Light-medium body, light stickiness.
Trail Creek Bière de Garde;Twin Falls, Idaho, United States;Bière de Garde / de Mars;Trail Creek Brewing Co.;Bomber from Brewforia. Pours very hazy orange with a strange layer of white bubbles. Aroma is rather yeasty. Medium body with very light carbonation. Flavor is sweetish citrus/toffee. Underlying funk? Hard to tell. Maybe this is diacetyl. Or maybe the honey is confusing me. It is certainly unlike any Biere de Garde I can recall. It takes some getting used to. Finishes toffee to me.
Trail Creek Bière de Garde;Twin Falls, Idaho, United States;Bière de Garde / de Mars;Trail Creek Brewing Co.;This 22 oz bottle came from Paul’s Grocery in McCall, Idaho. It poured a hazy golden color with a really nice looking fat white head and good lacing. Nose of grainy malts and some unidentifiable spices and floral hops. Medium mouthfeel. Complex flavors with malts, yeasts, and an earthy touch. Dry finish with a touch of bitterness. Nice easy drinking beer with lots of character.
Trail Creek Bière de Garde;Twin Falls, Idaho, United States;Bière de Garde / de Mars;Trail Creek Brewing Co.;Bomber courtesy of Jake65 - thanks! Lightly hazed gold with a big off white head that gets rocky quickly. Looks well carbonated. Decent nose - lightly fruity, dusty, mild yeastiness, lightly grainy. Good drippy lace. Mild fruity flavors, a touch of toastiness, light earth, yeast. Floral and honey hints. Good stuff.
Trail Creek Bière de Garde;Twin Falls, Idaho, United States;Bière de Garde / de Mars;Trail Creek Brewing Co.;Bottle thanks to Toby. Pours out a hazy golden/straw color with a rather large foamy, slightly off white head. Aroma is of some spice and some grainy malty notes. Taste is complex, fruits, spice, yeast with some light earthy notes slight malty and honey sweetness in there also, drinkable and rather solid.
Trail Creek Bière de Garde;Twin Falls, Idaho, United States;Bière de Garde / de Mars;Trail Creek Brewing Co.;Bottle: Hazy yellow pour with a large off-white head. Nice lacing. Aroma is a bit obstrusive with some metallic notes and a funky malty feel. Some bits of floral and earthiness as well. Taste is more floral than malt... Just a little lingering earthy feel. Not quite right.
Trail Creek Bière de Garde;Twin Falls, Idaho, United States;Bière de Garde / de Mars;Trail Creek Brewing Co.;Sampled 10/22/08. This Biere de Garde pours a medium yellow gold color from a 22oz bottle. Medium to large sized long lasting white foamy head, with good retention. The aroma is fruity and sweet, banana and yeast, with some honey. A medium bodied Biere de Garde. The malts are fruity and very sweet, lots of banana flavors. The hops are earthy and a touch floral. Lively carbonation. It’s a touch too sweet and seems to be missing some of the spiciness of a Biere de Garde. There are some interesting honey flavors going on here. Drinkable but a little too sweet for my tastes. Mouthfeel is full. Finish is clean and smooth. Aftertaste is sweet.
Trail Creek Bière de Garde;Twin Falls, Idaho, United States;Bière de Garde / de Mars;Trail Creek Brewing Co.;2008 Bottle - Pours pale yellow with a huge white head...aroma is grains, yeast, banana and spice, heavy malt...flavour follows, decent balance, coats the mouth but is short lasting...pretty nice
Trail Creek Bière de Garde;Twin Falls, Idaho, United States;Bière de Garde / de Mars;Trail Creek Brewing Co.;NABA 08’: Pours a copper color with a white head. The nose is strong with esters and belgian yeast, quite a bit banana with some candi sugar, special b and lots of medicinal notes. The flavor is sweet and cloying, not enough carbonation for this attenuation level. Wheaty body and mouthfeel. Not as subtle and refreshing as I like.
Trail Creek Bière de Garde;Twin Falls, Idaho, United States;Bière de Garde / de Mars;Trail Creek Brewing Co.;On tap at Pandora brew pub - Trail Creek brewery. Light, refreshing, very bready, and a tad sweet. Not bad
Therezópolis Gold;Teresópolis (RJ), Brazil;Pilsener / Pils / Pilsner;Cervejaria St. Gallen;From a 600 ml bottle. Pours a cloudy gold with an off white head. Aroma of grain and some caramel. Flavors are sweet butterscotch with no bitter hop presence.
Therezópolis Gold;Teresópolis (RJ), Brazil;Pilsener / Pils / Pilsner;Cervejaria St. Gallen;Uma pilsen discreta, leve e refrescante. Um pouco aguada, boa pare ser tomada em dias quentes.
Therezópolis Gold;Teresópolis (RJ), Brazil;Pilsener / Pils / Pilsner;Cervejaria St. Gallen;Melhor que a Witbier da cervejaria Theresópolis, mas ainda é bastante comum. Comprei na promoção e achei o preço justo, mas normalmente é muito cara para o que realmente entrega
Therezópolis Gold;Teresópolis (RJ), Brazil;Pilsener / Pils / Pilsner;Cervejaria St. Gallen;Cerveja clara e leve. Bem fácil de ser encontrada, mas n vale o custo/benefício.
