John O Gaunt Woodgate;Melton Mowbray,Leicestershire                                                                                                                                                                                                                                                                                                        ,England;Bitter - Premium / Strong / ESB;John O Gaunt;This has a typical smooth toffee character of a festival pale ale. Sweet and chewy                                        ,this is tasty but lacks conditioning and sparkle. Brewed for the Leicester Beer Fest.
Russell Lemon Ale;Surrey, British Columbia, Canada;Flavored - Fruit;Russell Brewing Company;GCBF 2010. Pale yellow gold. No mistaking the lemon aroma and flavour here! Very lemony! Missing the tartness I had expected, and came off as artificial. Not my thing.
Russell Lemon Ale;Surrey, British Columbia, Canada;Flavored - Fruit;Russell Brewing Company;"Draught at Amberjack Tap House, Surrey, BC Blond color; creamy head. Surprisingly... Lemon aroma. Dry Lager, poor flavor, with a disturbing lemon presence. Strong bitterness. Bah."
Russell Lemon Ale;Surrey, British Columbia, Canada;Flavored - Fruit;Russell Brewing Company;Can shared with mabel & jerc. Clear yellow-gold with a small white head. Strong artificial lemon aroma, with dirty yeast notes in the background. Thin bodied. Flavour has a lot of lemon, much less artificial than the aroma suggests (yeah, I thought just the opposite of jerc...). Not amazing, but relatively refreshing.
Russell Lemon Ale;Surrey, British Columbia, Canada;Flavored - Fruit;Russell Brewing Company;[1782-20081015] 355 can. Artificial lemon-lime aroma has a hint of lemon Pledge cleaner fluid. Clear, yellow orange body with quick white bubbles. Flavour is lemon slices and a little yeast. Light body has some bubbles and acidity. Interesting to try but not in a repeatable way. <br /><i>(c/o GregClow, w/ him, jerc)</i>
Russell Lemon Ale;Surrey, British Columbia, Canada;Flavored - Fruit;Russell Brewing Company;2008-10-15. Golden body with a small white ehad. Big lemony aroma, lemon juice notes. (6+) Flavour is very lemony, but seems a touch more artificial than did the aroma, not much of a base beer. (6+) Average to light body. Actually not bad, shandy like, but has not much depth to it. Could see this being a summery cocktail?
Storm Precipitation Pilsener;Vancouver, British Columbia, Canada;Pilsener / Pils / Pilsner;Storm Brewing (BC);NIce foam and off-yellow body, aroma of some unique grains it seems. Flavour is a nice mix of grain and a bit of citrus, unique and well balanced. A very good drinker.
Storm Precipitation Pilsener;Vancouver, British Columbia, Canada;Pilsener / Pils / Pilsner;Storm Brewing (BC);At the source: super mild golden pilsner. Super mellow bready lager. Low hoppage.
Storm Precipitation Pilsener;Vancouver, British Columbia, Canada;Pilsener / Pils / Pilsner;Storm Brewing (BC);Very lush and creamy white head. Almost floral aroma. Crisp texture. Solid.
Storm Precipitation Pilsener;Vancouver, British Columbia, Canada;Pilsener / Pils / Pilsner;Storm Brewing (BC);Some tangy barley malt. Light saaz hops. Hazy golden pour with ok head. Light tangy finish. Tap at brewery.
Storm Precipitation Pilsener;Vancouver, British Columbia, Canada;Pilsener / Pils / Pilsner;Storm Brewing (BC);Draft - Nice sweet citrus and peel. Clear pale gold with a rich white head. Lots of leafy notes and leafy bitterness.. Earlier Rating: 11/1/2013 Total Score: 3 Draft - Sour lemon and white grape. Pale yellow and fizzy with a decent white head. Grains and white grape, slight bitterness and clean finish.
Storm Precipitation Pilsener;Vancouver, British Columbia, Canada;Pilsener / Pils / Pilsner;Storm Brewing (BC);On June 21, 2015. At Storm Brewing, in Vancouver, British Columbia. Hazy golden color, white head. Sweet, light banana scent. Malty, cream taste. Bitter aftertaste. Medium mouthfeel, medium bitterness.
Storm Precipitation Pilsener;Vancouver, British Columbia, Canada;Pilsener / Pils / Pilsner;Storm Brewing (BC);Sampled on tap at Storm, pours a clear pale golden with a small white head. Nose is fairly light, with notes of grass and crackery malt. Flavour brings out grassiness and some crispness. Thirst-quenching pils that is well-balanced. Very nice.
Empire Abbey Ale;Syracuse, New York, United States;Belgian Ale - Pale / Golden;Empire Brewing Company;Nice deep brown hue and the aroma was like smelling rum nut iced cream. Had some carbonation problems and the alcohol kept butting into the flavor as it warmed. Better served cold where you can pick out a nice raisin/plum taste and an even malt finish.
Empire Dortmunder Export;Syracuse, New York, United States;Helles / Dortmunder Export;Empire Brewing Company;Another strong example of Empires committment to producing fresh, well imitated German Beers. Pale Orangish yellow, with a grainy/malt aroma. This one opens up with a dry, sour malty taste that prepares you for the full body. When I say sour, I dont mean it in a bad way. This beer is excellent. Could stand some more hop flavor in the body, but I think I say that about all German Beers. This beer ends with a very meaty, warm alcohol flavor and leaves a sharp, tangy taste in your mouth. Has a few problems with carbonation but evens out as it warms. Overall the beer is very flavorful and a very unique beer.
Empire Municher Helles;Syracuse, New York, United States;Helles / Dortmunder Export;Empire Brewing Company;From 2002: I drank this beer quite a lot over that summer. At first I didn�t appreciate this beer (certainly not knowing as much about beer as I do now), but I came to really enjoy it. Pours a golden yellow, with a small head. Has some earthy notes, plant/leaf maybe, and a bit of floral taste. Light body, easy on the palate and easy to drink.
Empire Municher Helles;Syracuse, New York, United States;Helles / Dortmunder Export;Empire Brewing Company;Yellow-gold with some tinges of orange/copper. Fairly pungent aroma, with some grassy, sharp tones. Somewhat lighter in body than the Dortmunder, with more of an earthy/grassy appeal, maybe some hints of a light floral-lemon appeal. The body is medium to light and the beer is not too carbonated and quite even. A good rendition, but I prefer more malt.
Empire Instigator Doppelbock;Syracuse, New York, United States;Bock - Doppelbock;Empire Brewing Company;A dark clear brown ale with a thin lacing moka head. A sweet lightly molassey bock with fruity bananas, and treacle. In mouth, a nice chocolaty banana, cloves and a bit of oranges. Very nice. On tap at brewpub, August 15 2008.
Empire Instigator Doppelbock;Syracuse, New York, United States;Bock - Doppelbock;Empire Brewing Company;Sampled at the brewpub. AU15/08. App.: Deep ruby, remnants of a tan head. Aroma: Really vinous, tangy and woody, sour cherries and other sour fruits, currants, alcohol, quite assertive. Palate: Medium+ body and very soft carbonation. Flav.: More towards caramel and toffee, less vinous, a trace buttery, brown sugar and molasses blueberries and black currants. A fairly big beer.
Empire Instigator Doppelbock;Syracuse, New York, United States;Bock - Doppelbock;Empire Brewing Company;A mix between orange gold and brown, with even some red flecks. Moderately small white head. Has a fresh almost citrusy smell. Empire�s classic example, called the Instigator. Smooth and tending towards a lighter malt taste up front, with some hops character. Grows sweeter and blossoms into a medium/full body with hints of what I would call a sweet orange flavor. Finishes with that traditional german yeasty/malt taste that is a little bit too sugary in my opinion. This one was lighter overall and less a challenge to drink than other dopplebocks. Prone to being a bit lacking of flavor overall. I liked the lighter take on a dopplebock, not really caring much for them, but a true dopplebock fan probably wouldnt.
Empire Smoked Porter;Syracuse, New York, United States;Porter - Smoked;Empire Brewing Company;Nov 2000 - the one we had was labeled Rauchbier, I assume this is the same. Nobody in my group but Matt liked this one. It It's very strongly, and artificially, smokey... if you like that. The guy said it used liquid smoke added to it rather than smoked malt. That may have changed since then.
Empire Smoked Porter;Syracuse, New York, United States;Porter - Smoked;Empire Brewing Company;December 2002 release. Smells like hops and burnt malt. Burnt gray/brownish appearance, with some deep tan tinges. Small dissipating head. Began very bitter but then blossomed into a sweeter caramel malt. Smokey flavor was present initially and at the finish. Had only a medium body and was a bit too fizzy for my taste, but the body was complex and certainly provided the smoked barley malt I was looking for. The great thing was that it did not overpower with smoked flavor. The brewer had some extra smoked malt lying around and on a whim decided to make this. A great beer.
Martin's Blond Ale;Genval, Belgium;Blonde Ale / Golden Ale;John Martin;Session beer made at Palm, but I�m not sure it is still produced now. Warm golden blonde colour and light fruitiness, malt sweetishness, bit metallic, thinnish mouthfeel, insufficient hops in the finish. Rather bland actually, I had many better golden ales from the Anglo-Saxon world, where they were invented. Forgettable.
Martin's Blond Ale;Genval, Belgium;Blonde Ale / Golden Ale;John Martin;Oro buona schiuma non molto persistente naso leggermente speziato maltata abbastanza dolce poco luppolo
Martin's Blond Ale;Genval, Belgium;Blonde Ale / Golden Ale;John Martin;From backlog Head: creamy, large , white Colour: yellow Smell: mostly yeasty and sweet , bit of hops Taste: starts is citric , then comes sweet malts, some sweetcorn , end is yeasty and a bit dry
Martin's Blond Ale;Genval, Belgium;Blonde Ale / Golden Ale;John Martin;On tap. Dark golden with white head, creamy, that quickly diminishes in a fine layer. Aroma is sweet and fruity. Flavour is fruity, bready, spicy, sweet at the beginning with a final moderate bittery in the final, dense on palate. Body is full. Carbonation is soft. Texture is oily.
Martin's Blond Ale;Genval, Belgium;Blonde Ale / Golden Ale;John Martin;Das Bier riecht und schmeckt feuchtig, dabei aber nicht wie bei vielen anderen s��. Die leicht alkoholische Note, die sp�ter ins Herbe umschl�gt, st�rt mich kaum. Das Bier ist insgesamt nur im Mittelteil w�rzig, besonders im Nachgeschmack h�tte dies aber nicht geschadet, da dort nur ab und an ein malziges Aroma vorbeischaut. Ein sehr ausgewogenes, leider auch teils w�ssriges Bier... Test vom 15.9.2006, Gebinde: Glasflasche Noten: 7,10,10,9,8,11 - 9,85
Martin's Blond Ale;Genval, Belgium;Blonde Ale / Golden Ale;John Martin;gold blond coloured little sparkling body with a white head a sweet fruity aroma a sweet fruity herby taste with a alcholic bitter finish
Martin's Blond Ale;Genval, Belgium;Blonde Ale / Golden Ale;John Martin;Clear amber coloured beer with small white head and lots of carbonation. Alcoholic sweet and bit spicy aroma. Full palate. Finish is sweet herby with some nice spices. Good one, only the aroma is perfumed with too much alcohol, a pitty.
Martin's Blond Ale;Genval, Belgium;Blonde Ale / Golden Ale;John Martin;Number 500! Golden/yellow colored brew. Sweet, malty aroma. Fruity and creamy flavor. A bit dull, but enjoyable.
Martin's Blond Ale;Genval, Belgium;Blonde Ale / Golden Ale;John Martin;alot of citrus on this nose, and some yeast as well, red amber colour, some head, laces well, very bready taste, some citrus, decnt balance. good mouth feel decent beer
Martin's Blond Ale;Genval, Belgium;Blonde Ale / Golden Ale;John Martin;Clear yellow colour, sparkling, creamy white head. Fresh and fruity aroma, some malts. nice taste, sharp and creamy, herby. Bitter finish with some sweet hints. A Very nice ALe.
Belle-Vue S�lection Lambic;Sint-Pieters-Leeuw, Belgium;Lambic - Gueuze;Belle-Vue (AB InBev);750 ml bottle. Vintage: 1999. Thank you Adamchandler on this share. Flavor has sour grain, lemon juice, mild vinegar, oak. Maybe tart berries and a mild vinaigrette finish. The carbonation is flat.
Belle-Vue S�lection Lambic;Sint-Pieters-Leeuw, Belgium;Lambic - Gueuze;Belle-Vue (AB InBev);75cl Bottle @ Mikkeller Webshop, Copenhagen, Denmark. Hazy amber colour with no head. Aroma is tart, citrus, hints of vinegar. Taste follows the aroma. Medium body, soft carbonation.
Belle-Vue S�lection Lambic;Sint-Pieters-Leeuw, Belgium;Lambic - Gueuze;Belle-Vue (AB InBev);Rami Rami is drinking a S�lection Lambic (1999) by Belle-Vue at Mikkeller Bar Warsaw Troszke ucieklo w ocet i korek, ale tez fsjne piwnicznosianowate klimaty., sa tez owocki... za agesywne octowo? Ale i tak najs zlozonoscia
Belle-Vue S�lection Lambic;Sint-Pieters-Leeuw, Belgium;Lambic - Gueuze;Belle-Vue (AB InBev);Bottle, courtesy of Mats, thanks! Vintage 1999. Pours unclear amber. Aroma is pure horse blanket, hay, soft berries, oxidized but not too much. Body is medium, strongly sour but not tart, low carbonation but not lacking. Complex, but not overdone, maybe a tad too old. Not dead, though. Good!
Belle-Vue S�lection Lambic;Sint-Pieters-Leeuw, Belgium;Lambic - Gueuze;Belle-Vue (AB InBev);1999 bottle, many thanks Mats! Clear deep orange color with no head. Aroma is berries, vineous, parmeggiano, horseblanket. Taste is horseblanket, a bit of everything, vinegary, but not too much yet. Oily mouthfeel with medium carbonation. Held up well!
Belle-Vue S�lection Lambic;Sint-Pieters-Leeuw, Belgium;Lambic - Gueuze;Belle-Vue (AB InBev);(750ml 1999 bottle from Mikkeller Webshop) Pours a clear bright copper with a tiny white head that fades without lace. Aroma is quite tart, lactic acid, crabapple, musty basement, old wood, oxidized slightly nutty sherry notes, slightly spicy hops, citrus, light acetic notes. Flavour is quite sour, fruity notes of lemon, gooseberry, tart red berries, fruit vinegar, unripe pit fruit, sharp lactic acid, wet wood, Brett horseblanket. Finish dries lightly with wood and some oxidation but generally persists as very sour, lactic and acetic long into the aftertaste. Medium bodied with quite low carbonation remaining. Interesting and a bit challenging as this is clearly on the decline but still has some redeeming qualities. I suspect this was always on the sour side (a bit Hanssens-like?) but age and a little oxidation has thrown the balance off. That being said, it also still tastes good beyond the bracing nature. Very fun to try.
Burg De Tweede Vergissing;Ermelo, Netherlands;Belgian Ale - Pale / Golden;Burg Bieren;Dark brown color, small head. Aroma of roasted malts. Bit yeasty taste and malty. Not as sour as the Burg Dubbel, and that's exactly why this beer is more like a belgian double. I thought it was quite nice, one of the better Burg brews actually.
Burg De Tweede Vergissing;Ermelo, Netherlands;Belgian Ale - Pale / Golden;Burg Bieren;Strong coffee and milk chocolate aroma, like Wiener Melange. Also Wiener Melange flavor. Yeasty, very thin and water. Far from perfect beer, but drinkable.
Borsodi P�l�;B�cs, Hungary;Low / No Alcohol Beer;Borsodi S�rgy�r (Molson Coors);Das Borsodi P�l� ist das alkoholfreie Bier der Brauerei. In manchen Quellen wird es auch als alkoholreduziert beschrieben, aber mit einem Alkoholgehalt von 0,5% ist es schon sehr alkoholreduziert. Es ist ein Vertreter der grauslichen osteurop�ischen alkoholfreien Biere, die eigentlich nur von trockenen Alkoholikern getrunken werden, deren Geschmacksnerven schon abget�tet wurden. Ein s��liches Gebr�u mit leichten Malz- und keinerlei Hopfennoten.
Borsodi P�l�;B�cs, Hungary;Low / No Alcohol Beer;Borsodi S�rgy�r (Molson Coors);Bottle. Frothy White fair mostly deminishing head. Yellow colour. Light malty and hoppy aroma. Light bitter flavor. Short lioght bitter finish. Watery palate. Deasent Non-alc.
Borsodi P�l�;B�cs, Hungary;Low / No Alcohol Beer;Borsodi S�rgy�r (Molson Coors);Can at home. Pours golden color, white head. Aroma and taste are malty, bit sweet, bit corny.
Borsodi P�l�;B�cs, Hungary;Low / No Alcohol Beer;Borsodi S�rgy�r (Molson Coors);Hellgelbe Farbe, wenig Schaum. Geruch extrem d�nn malzig, s��lich. Geschmack w�ssrig malzig s��.
Borsodi P�l�;B�cs, Hungary;Low / No Alcohol Beer;Borsodi S�rgy�r (Molson Coors);toast, caramel, earthy, cooked vegetables, pale, clear, rocky head, light sweetness, medium bitterness, thin feel, light body,
Borsodi P�l�;B�cs, Hungary;Low / No Alcohol Beer;Borsodi S�rgy�r (Molson Coors);Bottle. Another non-alcoholic on the hungarian market. Plae golden colour, weak head. Sweet aroma and taste. Light bitter. Not so bad.
Borsodi P�l�;B�cs, Hungary;Low / No Alcohol Beer;Borsodi S�rgy�r (Molson Coors);500 ml can. From Hungary. Clear pale golden colour with almost no head. Some fruit juice notes and malt in aroma. Flavour is not bad. It�s not good either. It�s almost drinkable. Corn, notes of vegetables and some fruitiness in flavour. I could drink another one if I really have to.
Borsodi P�l�;B�cs, Hungary;Low / No Alcohol Beer;Borsodi S�rgy�r (Molson Coors);"Smells of that typical low-alc mixture of lemon and bread; looks like lemon water, too, though lemonade is probably more attractive. Taste is bitter and sour corn, like fermented vegetables, without the alcohol. It would be a good drink to offer to kids to put them off drinking beer. All in all, another worthless non-alcohol."
Borsodi P�l�;B�cs, Hungary;Low / No Alcohol Beer;Borsodi S�rgy�r (Molson Coors);No 793 Rated: 20.07.2009 Bottle brown, 500 ml, rated in Bogacs, Hungary. Appearance: Pours beautiful golden, very clear and lively carbonated body, head is initially medium, rather white, foamy to frothy in texture, initially medium but unstable and quite quickly decreasing to almost non-existant, there is a gentle lacing. Aroma: Crystalized honey, graphite, dryness being typical of a Low Alcohol beer, gentle notes of corn, corny syroup, weak barley grains, notes of caramel, toffee, burned sugar, slightly toasty,quite pleasant and again what is very positive, it is characteristic for its style. Flavour: Very refreshing, soft, light bodied beer with dominating sweetish flavour, especially notes of corn and corny syroup, some kind of gentle dryness in the aftertaste, it is very good as a Low Alcohol ans very easy going, some crystalized honey, watered down metalic, mineral impression, very clean in general, the bright malt is felt too. Finish duration is short. Palate: Body is light, texture is slightly dry, carbonation on palate is moderate. Finish feel is mineral, metalic, very clean, sweetish.
Borsodi P�l�;B�cs, Hungary;Low / No Alcohol Beer;Borsodi S�rgy�r (Molson Coors);Bottle. Golden colour with a small white head. Aroma and flavour of malt, hops and very watery.
Borsodi Borosty�n;B�cs, Hungary;Amber Lager - Czech / Polotmav�;Borsodi S�rgy�r (Molson Coors);Dieses Bier wid seit 2016 nicht mehr abgef�llt. Es handelt sich um ein halbdunkles BIer, das man entfernt als Wiener Lager beschreiben k�nnte. Im Vergleich zu den tschechischen Halbdunklen war es aber ziemlich langweilig, was vielleicht auch zu seiner Einstellung f�hrte.
Borsodi Borosty�n;B�cs, Hungary;Amber Lager - Czech / Polotmav�;Borsodi S�rgy�r (Molson Coors);bottle @ supermarket. pale colour, light body, high carbonated, taste like between an average pilsener and lager beer
Borsodi Borosty�n;B�cs, Hungary;Amber Lager - Czech / Polotmav�;Borsodi S�rgy�r (Molson Coors);0,5l Flasche. Bernsteinfarbenes Bier, heller Schaum. Karamellduft. Geschmack Getreide und Karamel.
Borsodi Borosty�n;B�cs, Hungary;Amber Lager - Czech / Polotmav�;Borsodi S�rgy�r (Molson Coors);Can, enjoying the sun, random park, Budapest. Pours amber with a light tan head. Aroma of malt, caramel, sweetness, light chocolate, light fruit. Flavor is sweet, malt, caramel, weak chocolate notes, light fruity. Medium body, average carbonation. 290315
Borsodi Borosty�n;B�cs, Hungary;Amber Lager - Czech / Polotmav�;Borsodi S�rgy�r (Molson Coors);K�ls� megjelen�s�nek le�r�s�ra elnevez�se szolg�l: kellemes, borosty�n �rnyalat� sz�nben ker�l a poh�rba, melyhez egy eg�szen hat�rozott, piszkosfeh�r habkorona csatlakozik. Illata meglehet�sen semleges �s kezdetben �z�t sem nevezn�m �t�t� erej�nek. Igaz�b�l k�s�bb sem v�lik azz�, viszont id�vel mindkett�t �thatja egy enyhe mal�t�s aroma, id�vel pedig megcsillant n�mi karamelles �dess�get is, azonban igaz�n telt karakterrel egyik �zjegy sem p�rosul.
Borsodi Borosty�n;B�cs, Hungary;Amber Lager - Czech / Polotmav�;Borsodi S�rgy�r (Molson Coors);The content pours a dark amber color coverd with a decent geige coloured frothy head. There is a sweet and roasted aroma complemented by some chocolate smell in the background. The taste starts pleasantly sweet, slight roasty feel included, followed by some bitterness in the body, finishing with a slightly neutral feel. Easy to drink, smooth. Very decent.
Borsodi Borosty�n;B�cs, Hungary;Amber Lager - Czech / Polotmav�;Borsodi S�rgy�r (Molson Coors);500ml Dose. Bernsteinfarbenes Bier mit geringer Schaumkrone. Geruch malzig, leicht fruchtig, hopfig, Karamell. Gesschmack leicht malzig, Karamell, hopfig fruchtig.
Borsodi Borosty�n;B�cs, Hungary;Amber Lager - Czech / Polotmav�;Borsodi S�rgy�r (Molson Coors);bottle Amber color, beige head. Better beer than the Borsodi stuffs. Medium body, caramel malt, light roasted and hints of hops flavor, with a light carbonation, aftertase a pleasant mild bitterness.
Borsodi Borosty�n;B�cs, Hungary;Amber Lager - Czech / Polotmav�;Borsodi S�rgy�r (Molson Coors);0,5l can. Color is amber. Aroma is caramel and taste is also pretty much caramel. Overall this is great beer, very tasty and drinkable, i would like to drink it again.
Borsodi Borosty�n;B�cs, Hungary;Amber Lager - Czech / Polotmav�;Borsodi S�rgy�r (Molson Coors);500ml can at Budapest. Clear amber colour with small head. Aroma is sweet malt. Flavour is caramel, bit hoppy finish.
Arany Szarvas (3.8%);P�cs, Hungary;Pale Lager - North Am. / Light;P�csi S�rf�zde;HAd it years ago, I remember it was a decent one from P�csi S�rf�zde. It was a well-bodied, very good one, sadly, it has been retired.
Arany Szarvas (3.8%);P�cs, Hungary;Pale Lager - North Am. / Light;P�csi S�rf�zde;Bottled, brewed by Pecsi S�rgyar. Pale yellow. Offputting aroma of raisin & garbage. Sweet with loads of DMS and eggfart, as well as cardboard. Revolting!
Arany Szarvas (3.8%);P�cs, Hungary;Pale Lager - North Am. / Light;P�csi S�rf�zde;Bottled(500ml). -for that little alcohol content this is a very good beer, specially if we know that this is hungaryan beer, golden coloured, light yeasty aroma, medium head, quite drinkable and refreshing lager
Kind Beers Ale;Charlotte, North Carolina, United States;Pale Ale - American / APA;Kind Beers;12oz bottle, generic looking label with the small tip of a pointed leaf as the on eye catcher. Pours hazy pale color. Aroma of grassy hops, some grapefruit. Flavor of some pale malts, very bitter. Overly hopped. Too much bitterness compared to the watery malt presence. Not my bag.
Kind Beers Ale;Charlotte, North Carolina, United States;Pale Ale - American / APA;Kind Beers;Frothy white head, orange hazy color. Hoppy aroma--soap and grapefruit like. Interesting change from the standard APA with overdone Cascade. Flavor is hop crazy. Only complaint is that the incredible hop blending is wasted on a lighter malt presence. The same hops would be better in a beer that has a bit more alcohol--Imperial IPA or IPA.
Kind Beers Ale;Charlotte, North Carolina, United States;Pale Ale - American / APA;Kind Beers;Mmmm.... A flavorful and refreshing pale ale fron NC. Has a nice and spicy body with lemon and orange notes. A bit simple, but good.
Kind Beers Ale;Charlotte, North Carolina, United States;Pale Ale - American / APA;Kind Beers;"Pretty Good. Dark Gold to light Copper, White head. Grainy aroma with some citrus hops. Hops dominate but are not to aggressive. Like most beers that play up the ""organic"" label, it is solid but not great."
K�nigsbacher Alt;Koblenz, Rhineland-Palatinate, Germany;Altbier / Sticke Alt;Koblenzer/K�nigsbacher (Karlsberg);Draught at Papa Joe�s, Cologne, 200ml, Filtered. Toffee brown colour, little carbonation. Sweet malts dominate the body, almost sticky, which is then pleasingly followed by a hint of hoppy bitterness. Biscuit sweet finish, not bad at all, made a change from Kolsch�s.
K�nigsbacher Alt;Koblenz, Rhineland-Palatinate, Germany;Altbier / Sticke Alt;Koblenzer/K�nigsbacher (Karlsberg);From tap. Roastmalty aroma with harsh hoppy notes. Tastes bitter, quite dry with a harsh hoppy bitterness in the finish. A bit hinbodied, maybe. QUite okay.
K�nigsbacher Alt;Koblenz, Rhineland-Palatinate, Germany;Altbier / Sticke Alt;Koblenzer/K�nigsbacher (Karlsberg);What can I say? THE beer for me from 84-87, Traben-Trarbach, W. Germany. I thought it was delicious then. These days I think it�s a very serviceable alt bier. Prosit!
K�nigsbacher Alt;Koblenz, Rhineland-Palatinate, Germany;Altbier / Sticke Alt;Koblenzer/K�nigsbacher (Karlsberg);Clear brown coloured, medium, mostly disappearing head. Malty, sweet and bit hoppy aroma and flavour. It was served in a very small (0,2 l) glass, which made me feel like i was drinking a regular cola. But apart from that it was ok.
K�nigsbacher Alt;Koblenz, Rhineland-Palatinate, Germany;Altbier / Sticke Alt;Koblenzer/K�nigsbacher (Karlsberg);Clear light brown color, medium head. Hoppy muffy, quite malty aroma. Light malty taste. Sticky palate.
Carlssons Bruks�l 3.5%;Kopparberg, Sweden;Pale Lager - North Am. / Light;Kopparbergs Bryggeri;Can. Pale yellow colour with a white head. Light malty in both aroma and taste, a bit sourish. Slightly better than the 2.8% version.
Carlssons Bruks�l 3.5%;Kopparberg, Sweden;Pale Lager - North Am. / Light;Kopparbergs Bryggeri;Can. A light yellow beer with a white head. The aroma is sweet with light notes of hops. The flavor is malty with a dry bitter and hoppy end, and the body is thin. Boring.
Carlssons Bruks�l 3.5%;Kopparberg, Sweden;Pale Lager - North Am. / Light;Kopparbergs Bryggeri;Very pale. Surprisingliy much taste for a 3,5% lager. I find it nicely hoppy.
Carlssons Bruks�l 3.5%;Kopparberg, Sweden;Pale Lager - North Am. / Light;Kopparbergs Bryggeri;Can. Aroma very much of hay. Pale yellow colour. Thin and boring............
Carlssons Bruks�l 3.5%;Kopparberg, Sweden;Pale Lager - North Am. / Light;Kopparbergs Bryggeri;(Thanks to Johnny) Can. Golden clear colour with a nice white head. Light hoppy aroma, also in the flavour, but ends up light and watery.
Carlssons Bruks�l 3.5%;Kopparberg, Sweden;Pale Lager - North Am. / Light;Kopparbergs Bryggeri;Can. Pale golden colour with a medium white head. Hay, grassy aroma and a sweet malty, hay, straw light skunky taste. Light body with a sweet finish.
Carlssons Bruks�l 3.5%;Kopparberg, Sweden;Pale Lager - North Am. / Light;Kopparbergs Bryggeri;(Can 50 cl) Pours clear and very pale with a very white head. Lightly malty nose. Thin-bodied with cardboard being the only flavour. Nothing else. Real ugly. 130806
Carlssons Bruks�l 3.5%;Kopparberg, Sweden;Pale Lager - North Am. / Light;Kopparbergs Bryggeri;Can. Clear pale yellow coloured with a white head. Aroma of boiled vegetables. Flavour of malts, cardboard and hops.
Carlssons Bruks�l 3.5%;Kopparberg, Sweden;Pale Lager - North Am. / Light;Kopparbergs Bryggeri;I was very thirsty when I tried this, so I thought it was quite refreshing.
Carlssons Bruks�l 3.5%;Kopparberg, Sweden;Pale Lager - North Am. / Light;Kopparbergs Bryggeri;Very pale golden. Fine, big rocky, white head. As otften with 3,5% Swedish lager this has a sour aroma and flavor. Apart from the sourness, there is no aroma to be found. No bitterness.
Messrs Maguire Rusty Ale;Dublin, Ireland;Red Ale - Irish;Messrs Maguire;Pint on tap at Messrs on multiple occasions. Going back a bit to remember it but it was creamy with a good white head, quite hoppy with some caramel sweetness. A little chemically which was a slight drawback and would prevent you having a 2nd on a night out.
Messrs Maguire Rusty Ale;Dublin, Ireland;Red Ale - Irish;Messrs Maguire;On tap at Messrs Maguire pub in Dublin. Orangey-amber colour. Sweet aroma with caramel and some earthy tones. Fruity taste, with caramel and some honey.
Messrs Maguire Rusty Ale;Dublin, Ireland;Red Ale - Irish;Messrs Maguire;Light berry .. great creamy head .. pretty fruity .. whipped cream lacing .. really nice for an irish ale, good beer .. . . . Just read that 48 cans of Red Bull were stolen from a garage down the road during a late night heist. I don�t know how these people sleep at night.
Messrs Maguire Rusty Ale;Dublin, Ireland;Red Ale - Irish;Messrs Maguire;On tap at Messrs Maguire pub in Dublin. Orangey-amber colour. Caramelly, earthy sweet aroma with light mushroomy notes. Herbal, fruity, with light caramel and even a hint of acidity. Overall Ok
Messrs Maguire Rusty Ale;Dublin, Ireland;Red Ale - Irish;Messrs Maguire;Sample at the brewpub. Clear reddish-amber color with a medium off-white head that recedes quickly. Spotty lacing. Aroma of malt and slight hops. Light body with flavors of caramel malt and resiny hops. The finish is short with sweet malty aftertaste. Slightly above average overall.
Messrs Maguire Rusty Ale;Dublin, Ireland;Red Ale - Irish;Messrs Maguire;La migliore Irish Ale assaggiata...anche se continua a non convincere fino in fondo
Messrs Maguire Rusty Ale;Dublin, Ireland;Red Ale - Irish;Messrs Maguire;Thhis was the second ale tasted at the brewpub on the Liffy. I was able to get a tour of the brewery. It is a very compact brewery with limited space. They do a great job. This ale was a reddish brown in color with a creamy head. The cabonation was soft for this medium body beer. The ale could take more hops, but otherwise a very balanced ale. Smooth finish with no aftertaste.
Messrs Maguire Rusty Ale;Dublin, Ireland;Red Ale - Irish;Messrs Maguire;Draught at the brewpub. Clear orange-red coloured with a creamy off-white head. Fruity aaroma of caramel, liquorice, tobacc, hops and ashtray. Fruity flavour of caramel, liquorice powder and hops. Fruit finish
Messrs Maguire Rusty Ale;Dublin, Ireland;Red Ale - Irish;Messrs Maguire;Draught at the brewpub in Dublin. Red body, thick off-white head. Almost no aroma, meek taste, almost on finish. Of course, this is compares to the other excellent beers at the brewpub...
Messrs Maguire Rusty Ale;Dublin, Ireland;Red Ale - Irish;Messrs Maguire;Strong sweet caramel aroma. Perfectly clear with a nice amount of head. Good caramel flavors as well but the hop bitterness is little stronger than it should be for an Irish red covering any malt flavors at the end.
Blonder Vilagos;Vonyarcvashegy, Hungary;Pale Lager - Intl / Premium;Blonder S�rgyar;V�gleg bez�rt sajnos, pedig ez a vil�gos egy j� �tlagos iv�s�r volt. Rest in peace.
Blonder Vilagos;Vonyarcvashegy, Hungary;Pale Lager - Intl / Premium;Blonder S�rgyar;tap @ beerfestival (budapest) pale colour, light body, normal carbonated, average lager, nothing special
