MacParker's Ale;Ithaca                         ,New York,United States;Pale Ale - English;Ithaca Beer Co.;Copper colour with absolutely no head. Mild hop aroma with balanced malt. Decent english hop taste mixed with a citrus/lemony taste. Aftertaste a bit metallic,not half bad though. Overall,a decent EPA,not too great though. I had this on draught at MacGregor's in Rochester,New York on 28-October-2003.
Five Islands Halloween Ale;North Wollongong, NSW, Australia;Flavored - Other;Illawarra Brewing Company;i liked this one - mainly for being something i'm sure has never been brewed in this country before. the brewer said he roasted a very large amount of pumpkin for it to get the sugars out. looked light brown with a bit of cookie dough aroma. hint of pumpkin flavour and some extra butteriness of texture. odd, with a pleasantly integrated finish
Five Islands Halloween Ale;North Wollongong, NSW, Australia;Flavored - Other;Illawarra Brewing Company;apparently made with pumpkin, cumin, cinnamon, and some other stuff. red-orange colour. toffee and cumin smells are pissed all over by lots of escapees from the big cat section. if you block your nose, the flavour is very sweet, pumpkiny, with plenty of spice, and some late bitterness. An odd one, maybe appropriately scary.
Five Islands Pigdog Pilsener;North Wollongong, NSW, Australia;Pilsener / Pils / Pilsner;Illawarra Brewing Company;By the numbers pilsener lager style beer. Not a lot of aroma, appearence is straw with little head. Flavour is good, solid sessional beer.
Five Islands Pigdog Pilsener;North Wollongong, NSW, Australia;Pilsener / Pils / Pilsner;Illawarra Brewing Company;Draught at The Australian Hotel, Sydney. I�m pretty sure this was the FI beer I had, it wasn�t acutally labelled. The beer was an attempt at a Pils so I�ll put my rating here. Pours clear golden with a small and lively white head. Aroma of pale malt and fruity hops. The flavour is malt and light citrus. Not really clean for a pils but it�s unoffensive and easy to drink. It�s OK.
Five Islands Pigdog Pilsener;North Wollongong, NSW, Australia;Pilsener / Pils / Pilsner;Illawarra Brewing Company;Murky orange with a small head. Tasted lke an APA at first with all the citrus but then the nice salty pils came through. Quite chewy and long with a very dry finish.
Five Islands Pigdog Pilsener;North Wollongong, NSW, Australia;Pilsener / Pils / Pilsner;Illawarra Brewing Company;Not as tasty as the Paddys Pilsener I had a couple days beforehand but still it�s to style and it got better after I had eaten, maybe a touch sweet for me.
Five Islands Pigdog Pilsener;North Wollongong, NSW, Australia;Pilsener / Pils / Pilsner;Illawarra Brewing Company;RE-RATE: Bottle (330ml). Poured yellow with a small, rocky, white head which was average lasting. Aroma was of lemon citrus with bitters, honey, lime, sweet malts and light grassy/hoppy notes. Flavor was of sweet grainy malts, with lemon citrus, lime citrus, a light hop bitterness , touch of butterscotch and a dry finish. Light bodied with lively carbonation, a dry mouthfeel, somewhat watery texture and a ok finish. Just was to sweet for me, reminds me of lemon, lime & bitters more than anything.
Five Islands Pigdog Pilsener;North Wollongong, NSW, Australia;Pilsener / Pils / Pilsner;Illawarra Brewing Company;Clear yellowish gold with a loose frothy head and fine carbonation. Some nice grassy hops, with a bit of a metal touch. Quite malty too, which brings the sweetness level up a little. Somewhat shallow and short, and not a greatly challenging beer, but quite drinkable. (On tap, not quite as good from the green bottle!!).
Five Islands Pigdog Pilsener;North Wollongong, NSW, Australia;Pilsener / Pils / Pilsner;Illawarra Brewing Company;Bottle. Probably better than i expected it to be. Grassy aroma, with some lightly honeyed characters. Some light sweetness on the tongue, with a touch of bitter hops. Some underlying buttery notes. Finish is a bit crisp.
Five Islands Pigdog Pilsener;North Wollongong, NSW, Australia;Pilsener / Pils / Pilsner;Illawarra Brewing Company;Bottle (Sydney Summer Gathering 2007): First beer of the gathering and unfortunately it was a little worse for having spent its life in a light green bottle. Slightly hazy gold without much head. What really stood out about this was the skunked grassy and grainy aroma that otherwise showed a great deal of promise. In the mouth it was prett typical with a watery sweet grain note accompanied by some pleasant grassiness and a crisp, though slightly harsh bitterness. From the keg or with a brown bottle this could hold up nicely.
Five Islands Pigdog Pilsener;North Wollongong, NSW, Australia;Pilsener / Pils / Pilsner;Illawarra Brewing Company;Looking beyond the fact that this bottle was a bit skunked, there was a decent amount of bitterness, fairly crisp and clean tasting, though with a hint of diacetyl. Credible effort.
Five Islands Pigdog Pilsener;North Wollongong, NSW, Australia;Pilsener / Pils / Pilsner;Illawarra Brewing Company;Perhaps it was the environment - a sunlit table outside the Australian Hotel on beer festival weekend with the AFL Grand Final to look forward to later - or perhaps it was the rare opportunity to drink fresh pilsener. Either way, I was pretty impressed with this and with the Five Islands range in general. This one had a loose, sudsy head that spackled the glass. There was some butterscotch diacetyl in the aroma but nothing overpowering - for my palate, at least. Also lime marmalade and Saazy notes. Quite an oily mouthfeel and dry in the finish. In the mouth, it�s all diacetyl caramel up-front with some Saaz spice and a long soft, bitter finish. Fresh, this was very drinkable. (Draught at the Australian Hotel beer festival, Sydney, 2006)
Oberstdorfer Dampfbier Hell;Oberstdorf, Bavaria, Germany;Helles / Dortmunder Export;Oberstdorfer Dampfbierbrauerei;On tap im Brauhaus in Oberstdorf. Naturtr�bes gelbes Bier, heller feiner Schaum. Leicht muffiger Hefeduft. Milchig im Antrunk. Gras, Stroh. Naja
Oberstdorfer Dampfbier Hell;Oberstdorf, Bavaria, Germany;Helles / Dortmunder Export;Oberstdorfer Dampfbierbrauerei;On tap. Pours a hazy blond color with compact head. The aroma is quite malty, with some mild hops.
Oberstdorfer Dampfbier Hell;Oberstdorf, Bavaria, Germany;Helles / Dortmunder Export;Oberstdorfer Dampfbierbrauerei;On draught at the brewery. Very pale and very cloudy. Aroma is malty, grainy and yeasty. The taste is malty and bitter with not a hint of anything else coming from the hops than bittering. Correct beer, but nothing special
Oberstdorfer Dampfbier Hell;Oberstdorf, Bavaria, Germany;Helles / Dortmunder Export;Oberstdorfer Dampfbierbrauerei;Bottle courtesy of steptin, in turn courtesy of Bierkrug, thank you both! Bright golden color. Aroma of stale black pepper. Taste is very bitter. And not much else.
Oberstdorfer Dampfbier Hell;Oberstdorf, Bavaria, Germany;Helles / Dortmunder Export;Oberstdorfer Dampfbierbrauerei;Ins Glas ergie�t sich ein goldgelbes Bier mit durchschnittlicher Schaumkrone. Geruch malzig, getreidig, leicht herb. Geschmack malzig w�rzig, getreidig, minimale Bitterkeit.
Oberstdorfer Dampfbier Hell;Oberstdorf, Bavaria, Germany;Helles / Dortmunder Export;Oberstdorfer Dampfbierbrauerei;Mild herber Antrunk, geringf�gig s��e Getreidigkeit. S�ffig, wenig aromatisch. Hell, mild, zum Ende allerdings voller wedend, wenig herber, daf�r deutlich getreidiger. Simples trinkbares Helles. 10/8/8/10/8/9
Oberstdorfer Dampfbier Hell;Oberstdorf, Bavaria, Germany;Helles / Dortmunder Export;Oberstdorfer Dampfbierbrauerei;"Bottle (kindly delivered by Quack-Duck!): Milky, yellowish coloured, looking like an unfiltered cider, yeasty-grainy nose; light bodied, mild sweetish-bitter flavour; finishes the same way. O.K., but not overwhelming..."
Oberstdorfer Dampfbier Hell;Oberstdorf, Bavaria, Germany;Helles / Dortmunder Export;Oberstdorfer Dampfbierbrauerei;Draught at the brewery.Hazy golden colour with white head.Aroma of wheat and hops,fresh with fruity taste and light note of yeast,mild body and hoppy sweet finish.
Oberstdorfer Dampfbier Hell;Oberstdorf, Bavaria, Germany;Helles / Dortmunder Export;Oberstdorfer Dampfbierbrauerei;Thanks to quack-duck for that bottle. Looks good. Beer in the glass light yellow, nice head. Starts mild, fine malty-yeasty, not too dry. Finish well balanced, dry background. Quite drinkable. Not bad!
Oberstdorfer Dampfbier Hell;Oberstdorf, Bavaria, Germany;Helles / Dortmunder Export;Oberstdorfer Dampfbierbrauerei;bottle from the brewery. Hazy pale yellow, large white head. Grainy malt falvours with a dry bitterness, and some aromatic hops. Rather mild, still nice.
Erve Kots Bokse Achterhoeks Witbier;Lievelde, Netherlands;Weissbier - Hefeweizen;Museum Erve Kots - Herberg - Brouwerij;Bij erve kots van de tap. Troebel oranje goud met witte kraag. Weinig aroma. Smaak vrij bitter, zacht en granig. Smakelijke dorstlesser tijdens de wandeling.
Erve Kots Bokse Achterhoeks Witbier;Lievelde, Netherlands;Weissbier - Hefeweizen;Museum Erve Kots - Herberg - Brouwerij;Bottle: Served in a Grimbergen glass: Medium to smaller sozed white foamy head on top of a cloudy yellow colored beer. Aromas is funky, yeast, sweat, berries, manure, wheat, grains, light glue, herbs and iron. Flavour is a tart witbier: wheat, malts, some herbs, grapes, yeast, manure, some light glue, citrus and lemon, some sweets, bitters and light tart. Aftertaste is bitter, tart, yeast, lemon, wheat and yeast. Low carbo, creamy mouthfeel, low to medium bodied and a creamy texture. Meh, light tart but bit crispy.. It�s ok...
Erve Kots Bokse Achterhoeks Witbier;Lievelde, Netherlands;Weissbier - Hefeweizen;Museum Erve Kots - Herberg - Brouwerij;Draught @ Museum Erve Kots, Eimersweg 4, Lievelde, Netherlands 7173 HG. Unclear light to medium orange yellow color with a average, frothy to creamy, good lacing, mostly lasting, white head. Aroma is light to moderate malty, wheat, moderate yeasty, soap - perfume, fruity, spicy, coriander, light butter. Flavour is moderate sweet and light to light moderate bitter with a long duration, spicy, perfume - soapy, sweet fruit, yeasty, citrus notes. Body is medium, texture is oily to watery, carbonation is soft. ( IMO it is Belgium Witbier and not a German Hefeweizen). [20130926]
Erve Kots Bokse Achterhoeks Witbier;Lievelde, Netherlands;Weissbier - Hefeweizen;Museum Erve Kots - Herberg - Brouwerij;A so, so Weizen. No head. It is not bad beer but it NOT a good weizen. 1 liter bottle bought in the brewery � 4,60.
Erve Kots Bokse Achterhoeks Witbier;Lievelde, Netherlands;Weissbier - Hefeweizen;Museum Erve Kots - Herberg - Brouwerij;on bottle at the PINT beerfestival. Not really a lot of �witbier� characterisations. Some bitterness and clearly diacetyl (butter) present. Unfortunately below my quality standards.
Erve Kots Bokse Achterhoeks Witbier;Lievelde, Netherlands;Weissbier - Hefeweizen;Museum Erve Kots - Herberg - Brouwerij;Light citrus aroma. Yellow color, cloudy, white head, good lace. Light sour, light citrus, wheat, hopbitter, rather thin and watery.
Ritter Pils;Dortmund, North Rhine-Westphalia, Germany;Pilsener / Pils / Pilsner;Dortmunder Actien Brauerei (Radeberger Gruppe);Sampled from 0.5 l bottle from �Rudat�, best before May 2018. Clear, golden yellow with a thin, frothy, almost stable, white head. Very faint, sweetish, slightly grassy aroma of grains and traces of straw. Moderately sweet, slightly bitter, a little grassy taste of grains and a touch of straw, followed by a short, moderately bitter, slightly grassy and rather dry finish. Thin to medium body, slightly effervescent mouthfeel, soft carbonation. Very bland, not any better than the stuff from the discounters.
Ritter Pils;Dortmund, North Rhine-Westphalia, Germany;Pilsener / Pils / Pilsner;Dortmunder Actien Brauerei (Radeberger Gruppe);50cl bottle. Pours clear pale golden colour with a huge good lasting white head. Aroma of grassy and grainy malt. Taste of grainy malt, mild grassy hops, watery palate, boring!
Ritter Pils;Dortmund, North Rhine-Westphalia, Germany;Pilsener / Pils / Pilsner;Dortmunder Actien Brauerei (Radeberger Gruppe);Herber, hell malziger Beginn, blechern. Trocken metallig im Mittelteil, steigend herb, unrund. 6/6/6/5/4/5
Ritter Pils;Dortmund, North Rhine-Westphalia, Germany;Pilsener / Pils / Pilsner;Dortmunder Actien Brauerei (Radeberger Gruppe);Bottle. Pale gold with a frothy head. Aroma of citrus hop. Flavour is citrus, bitter hop, fruit finish.
Ritter Pils;Dortmund, North Rhine-Westphalia, Germany;Pilsener / Pils / Pilsner;Dortmunder Actien Brauerei (Radeberger Gruppe);50cl bottle, courtesy of McTapps. Green hayish pour. Dull green hay and wort in the nose translate into an actually quite drinkable macro pils, hop bitter enough despite the use of extract. Metallic, edgy cardboard finish. Still a step up from Wick�ler with the same pedigree.
Ritter Pils;Dortmund, North Rhine-Westphalia, Germany;Pilsener / Pils / Pilsner;Dortmunder Actien Brauerei (Radeberger Gruppe);"#886 Das Flaschenetikett ist schlicht und schlecht zugleich. Im Glas aber ein echtes Pils: Hellgelb und reichlich feiner Schaum. Das Aroma ist nicht sonderlich ausgepr�gt. Der Antrunk ist dann ziemlich herb und geht schnell in einen bitteren Abgang �ber. ""Hopfenherb Aromatisch"" steht schon sinnigerweise auf dem Label, aber das ist dann f�r mich doch zuviel des guten, zumal hier weniger Aromahopfen als vielmehr die Hopfenextraktkeule geschwungen wird. Freunde der norddt. Pilsener sollten es mal antesten. Fazit: Kann man durchaus mal zischen, muss man aber nicht! Test vom 9.1.2007, Gebinde: Glasflasche Noten: 12,9,6,6,3,8 - 7,70"
Ritter Pils;Dortmund, North Rhine-Westphalia, Germany;Pilsener / Pils / Pilsner;Dortmunder Actien Brauerei (Radeberger Gruppe);Bottle shared with MichaelBruch. Taste of citrus fruits, refreshing. Okay kind of Pils but nothing special about it. One like every else.
Ritter Pils;Dortmund, North Rhine-Westphalia, Germany;Pilsener / Pils / Pilsner;Dortmunder Actien Brauerei (Radeberger Gruppe);Bottle shared with McTapps. Honest golden pilsner with a moderate malt and grains aroma. Finishes slightly bitter. Good one.
Ritter Pils;Dortmund, North Rhine-Westphalia, Germany;Pilsener / Pils / Pilsner;Dortmunder Actien Brauerei (Radeberger Gruppe);Clear pale yellow colour. Very small white head. The flavour is OK malty, but there is also an underlying grainy note. Almost clean finish.
Ritter Pils;Dortmund, North Rhine-Westphalia, Germany;Pilsener / Pils / Pilsner;Dortmunder Actien Brauerei (Radeberger Gruppe);The taste is mild malty, hoppy, a bit sweet. In the aftertaste a bit bitter and sweet, then hoppy. Drinkable 8/8/9/8/7/8
Aischgr�nder M�rzen;Gutenstetten, Bavaria, Germany;M�rzen / Oktoberfest Bier;Brauerei Windsheimer;As Aischgr�nder Altfr�nkisch M�rzen with 5,5% alc.Pours an amber color with a small off white head. Nutty, caramel malt aroma,
Aischgr�nder M�rzen;Gutenstetten, Bavaria, Germany;M�rzen / Oktoberfest Bier;Brauerei Windsheimer;Orange-brown, cloudy body. The taste is sweet in combination with sour-fruity, but very sour. Ok, but strange sour for a Germna beer?! 9/9/8/7/10/8
Aischgr�nder M�rzen;Gutenstetten, Bavaria, Germany;M�rzen / Oktoberfest Bier;Brauerei Windsheimer;"bottled, thanks to mowbeer. amber with a minimal head; aroma of old leather and burnt rubber; plenty of rusty tea; light bitterness with some honey in the background"
Aischgr�nder M�rzen;Gutenstetten, Bavaria, Germany;M�rzen / Oktoberfest Bier;Brauerei Windsheimer;Bottle 500ml. @ home on the terrace. Light light unclear medium to dark amber orange colour with a average to large, frothy, good lacing, mostly lasting, off-white head. Aroma is moderate to heavy malty, caramel, dusty, fruity, wood - tobacco, fruity acidic notes, fresh overriped fruit notes. Flavour is moderate to light heavy sweet and light to light moderate bitter with a average to long duration, malty, fruity, overriped fruit notes. Body is medium, texture is oily, carbonation is soft. [20110521]
Aischgr�nder M�rzen;Gutenstetten, Bavaria, Germany;M�rzen / Oktoberfest Bier;Brauerei Windsheimer;bottled, from landbierparadies. hazy amber with steady head. smooth texture, lacquer, new baseball glove aroma, fresh spray paint on a subway wall, could drink it all night if i had to
Aischgr�nder M�rzen;Gutenstetten, Bavaria, Germany;M�rzen / Oktoberfest Bier;Brauerei Windsheimer;Bottle, danke G�nther! Dark amber, creamy golden head. Grassy and light hayish nose. Chewy grains, restrained minerals, light fruity and honyish sweetness balanced well by grassy hops. Solid body, a sparkle on the tongue. Very nice moreish marzen.
Aischgr�nder M�rzen;Gutenstetten, Bavaria, Germany;M�rzen / Oktoberfest Bier;Brauerei Windsheimer;bottle, Danke pivnizub! Clear golden colour, small head. Malty nose. Full-bodied, malty with a sweet touch, hints of marzipane and some nice herbal hops. Pleasant carbonation.
Aischgr�nder M�rzen;Gutenstetten, Bavaria, Germany;M�rzen / Oktoberfest Bier;Brauerei Windsheimer;Dark orange colour, small head. Sweet malty aroma. Strong and long finish. OK.
Aischgr�nder M�rzen;Gutenstetten, Bavaria, Germany;M�rzen / Oktoberfest Bier;Brauerei Windsheimer;Bottle. Amber color. Malty aroma with cookie dough and lychee. Malty sweet flavor with pineapple and a soft but persistant flowery hopbitterness. Some earthy notes in the aftertaste. Great balance. Lovely!
Aischgr�nder M�rzen;Gutenstetten, Bavaria, Germany;M�rzen / Oktoberfest Bier;Brauerei Windsheimer;Light sweet malty aroma. Amber colored body with a small white head. Light sweetness in the flavor and light notes of caramel.
Black Forest Brau Keller Stout;Frankenmuth, Michigan, United States;Stout;Black Forest Brau Keller;Dark and headless, this stout offers some roastiness and hints of coffee, but is very wateryand thin.
Black Forest Brau Keller Brown Ale;Frankenmuth, Michigan, United States;Brown Ale;Black Forest Brau Keller;Reviewed from notes. The appearance was a slight glossy brown color with a one finger white foamy head that dissipated within less than a minute. Lacing was somewhat sticky but ended up sliding for the most part. The smell had a fairly nice roasty nutty to caramel to coffee to chocolatey sort of thing going on. Slightly malty sweet through a roasty underscore of a toasted toffee to caramel breadiness all around. The taste was there and it was mainly sweet but had a light roastiness all around and invasive but actually it wanted to be. Was it? Hmmm...I guess for the most part. On the palate, this one sat about a light to medium on the body with a decent sessionability about it. The carbonation finishes fairly smooth and leads to a stickiness I�m not normally finding in a whole lot of brown ales in the finish. Weird, but inoffensive. Overall, brown ale, it sure is, its just a tad different in the mouthfeel/palate to me, but hey still worthy of having again.
Black Forest Brau Keller Brown Ale;Frankenmuth, Michigan, United States;Brown Ale;Black Forest Brau Keller;Hazy orange amber color with thin white. Mild malty aroma. Slight roasted notes. Mild coffee notes on the palate with cocoa hints.
Black Forest Brau Keller Brown Ale;Frankenmuth, Michigan, United States;Brown Ale;Black Forest Brau Keller;Pours a deep reddish brown with a quite thin tan head (at least from the growler, which tends to flatten beers a bit so it may be thicker from the tap). A hint of barley mixes with a hint of malt in the nose. Bitter overall taste with alcohol coming out a little strong (odd if it is really 5% like the description says), but lacking in much else.
Black Forest Brau Keller Brown Ale;Frankenmuth, Michigan, United States;Brown Ale;Black Forest Brau Keller;Thin, watery dark amber color. Sweet nutty nose, but barely a hint of malt in the mouth. Light bodied and nearly tasteless, but hints of hops in the finish.
Black Forest Brau Keller Pale Ale;Frankenmuth, Michigan, United States;Pale Ale - American / APA;Black Forest Brau Keller;On draft at brewery. This one is called No Fail Pale Ale with 5% ABV and 37 IBU. Gold color with lasting off white head and decent lacing. Nice grapefruit hop aroma backed up by a hint of malt. The taste is up front grapefruit hops that aren�t over the top but just about right for the style. There is a light malt sweetness hidden behind the moderate hop bitterness. The finish stays with the grapefruit type hop theme.
Black Forest Brau Keller Pale Ale;Frankenmuth, Michigan, United States;Pale Ale - American / APA;Black Forest Brau Keller;Light amber color with a thin head. Seemingly fresher than the other menu beers, light bodied, but tasty. Hints of toasty malts and nice hoppiness at the end.
Black Forest Brau Keller Amber Lager;Frankenmuth, Michigan, United States;M�rzen / Oktoberfest Bier;Black Forest Brau Keller;A very light, thin lager without much notable taste or qualities. Nothin offensive or bad, just thin hints of malt and soft carbonation.
Black Forest Brau Keller Kolsch;Frankenmuth, Michigan, United States;K�lsch / K�lsch-Style;Black Forest Brau Keller;Very light, slightly toasty nose and taste. Some hops at the end. Thin bodied and watery, but enough taste for me to finish the pint.
Royal Oak Oktoberfest;Royal Oak, Michigan, United States;M�rzen / Oktoberfest Bier;Royal Oak Brewery;A light brown/orange color. Very light on the spices, which is good when you consider other pumpkin beers are too heavy on the spices. However, the beer doesn�t have much of a flavor outside of some hints of pumpkin spice.
Royal Oak Oktoberfest;Royal Oak, Michigan, United States;M�rzen / Oktoberfest Bier;Royal Oak Brewery;A wonderfully malty concoction on tap during my visit. Sweet germanic malts, long and strong...perfect with their Pumpkin Pie at the bar!!!
Royal Oak EuphoriAle Barley Wine;Royal Oak, Michigan, United States;BarleyWine / WheatWine / RyeWine;Royal Oak Brewery;Golden brown pour thick laced head. Huge hop aroma, citrus, malty carmamels. Oily palate, well coated. Flavor is lightly bitter first w/ a sweet finish of caramel & strawberry touch of odd spice, not quite placed.
Royal Oak EuphoriAle Barley Wine;Royal Oak, Michigan, United States;BarleyWine / WheatWine / RyeWine;Royal Oak Brewery;Draft sample at MBGF07. Poured a hazy copper color with an average creamy off-white head that mostly lasted with good lacing. Good hoppy citrus, malty and alcohol aroma. Medium body with a slick texture and soft carbonation. Heavy bittersweet flavor with a long bittersweet alcohol warming finish. This is a solid brew.
Royal Oak EuphoriAle Barley Wine;Royal Oak, Michigan, United States;BarleyWine / WheatWine / RyeWine;Royal Oak Brewery;On tap:Huge citrus citrus hoppiness with some floral hops and a touch of pine. It�s a cloudy dull dark orange with a minimal off-white head. The flavor starts with big citrus noes with very faint caramel. Finishes with a huge pine kick with mild citrus hops.
Royal Oak EuphoriAle Barley Wine;Royal Oak, Michigan, United States;BarleyWine / WheatWine / RyeWine;Royal Oak Brewery;MI BG Winter Fest. Pours a hazy amber color with a medium sized off white head. Aroma is floral hops, bitter hops, grapefruit, orange, pine, caramel malt. Flavor is hhuge hops, floral, bitter, citrus, pine, slight malt backbone. Palate is medium-full, medhium carbonation, sticky, bitter finish. Hop bomb for sure, enjoyable, but needs a touch more malt to balance, IMO. Still really good.
Royal Oak EuphoriAle Barley Wine;Royal Oak, Michigan, United States;BarleyWine / WheatWine / RyeWine;Royal Oak Brewery;MBG 06. Bubbly orange, creamy white head. Lots of hops in aroma - nice and strong. Wonderful hop and malt taste - no taste of alcohol at all. A wonderful choice for my last beer of the fest! Well worth the 4pm tap time!
Royal Oak EuphoriAle Barley Wine;Royal Oak, Michigan, United States;BarleyWine / WheatWine / RyeWine;Royal Oak Brewery;Draught at 2006 MBG Summer Festival. Pours a hazy golden-orange with a small white head. Fruity, malty aroma with a nice amount of earthy and floral hops. Sweet flavour of fresh fruit, caramel malt, juicy hops and alcohol. Hides the alcohol very well. Medium bodied. All in all, a pretty good Barley Wine.
Royal Oak EuphoriAle Barley Wine;Royal Oak, Michigan, United States;BarleyWine / WheatWine / RyeWine;Royal Oak Brewery;Draught sample at MBG 2006 Summer Festival. Slightly hazy orange with a small head. Aroma is fresh, fruity & grassy, with a bit of earthiness. Flavour is nice and big, with strong, juicy hops - citrus & spruce - and sweet caramel malts in behind. Solid and tasty.
